,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,,,,,,,,,332767.0,50.27,81796.0,17.4,-70488.0,-11.34,269205.0,11.35,-31947.0,-4.53,-110172.0,-26.69,31137.0,5.49,126528.0,5.46,-43751.0,-7.24,66282.0,19.12,-26268.0,-5.02,-105857.0,-4.97
其他利益及損失淨額,-995.0,-0.14,2176.0,0.45,-51457.0,-7.87,-50746.0,-1.89,-649.0,-0.1,112025.0,23.83,-1542.0,-0.25,117949.0,4.97,-2195.0,-0.31,2775.0,0.67,-50.0,-0.01,882.0,0.04,5227.0,0.86,348.0,0.1,9587.0,1.83,39654.0,1.86
其他收入,4319.0,0.59,4166.0,0.87,4473.0,0.68,20840.0,0.78,8163.0,1.23,3403.0,0.72,4436.0,0.71,16063.0,0.68,3798.0,0.54,3229.0,0.78,4013.0,0.71,16676.0,0.72,4820.0,0.8,5237.0,1.51,4124.0,0.79,18317.0,0.86
其他綜合損益（淨額）,2780.0,0.38,-1012.0,-0.21,39609.0,6.06,31093.0,1.16,332799.0,50.27,81762.0,17.39,-70458.0,-11.34,266347.0,11.23,-31962.0,-4.53,-110188.0,-26.69,31235.0,5.5,129116.0,5.57,-43788.0,-7.24,66285.0,19.12,-26312.0,-5.03,-103515.0,-4.86
國外營運機構財務報表換算之兌換差額,3349.0,0.46,-1219.0,-0.25,47723.0,7.3,49871.0,1.86,39.0,0.01,-41.0,-0.01,35.0,0.01,102.0,0.0,-18.0,0.0,-19.0,0.0,118.0,0.02,76.0,0.0,-44.0,-0.01,2.0,0.0,-52.0,-0.01,-43.0,0.0
基本每股盈餘,0.58,,-0.12,,0.02,,1.26,,0.21,,0.87,,0.11,,1.55,,0.67,,-0.23,,0.09,,0.94,,0.3,,-0.37,,0.15,,0.69,
所得稅費用（利益）合計,11824.0,1.63,-1269.0,-0.26,-7252.0,-1.11,20250.0,0.75,9161.0,1.38,-5254.0,-1.12,2283.0,0.37,14468.0,0.61,14314.0,2.03,-5571.0,-1.35,1888.0,0.33,18815.0,0.81,7386.0,1.22,-1744.0,-0.5,1142.0,0.22,13487.0,0.63
推銷費用,120687.0,16.62,104588.0,21.77,131233.0,20.08,518431.0,19.31,125381.0,18.94,110575.0,23.52,131419.0,21.15,511740.0,21.58,111205.0,15.75,101825.0,24.67,130191.0,22.94,501519.0,21.64,108234.0,17.91,97336.0,28.08,120880.0,23.1,478174.0,22.45
本期淨利（淨損）,62845.0,8.65,-12840.0,-2.67,2682.0,0.41,136168.0,5.07,23243.0,3.51,93940.0,19.98,11461.0,1.84,167464.0,7.06,73060.0,10.35,-25026.0,-6.06,10008.0,1.76,101818.0,4.39,32507.0,5.38,-40525.0,-11.69,16447.0,3.14,74978.0,3.52
本期綜合損益總額,65625.0,9.04,-13852.0,-2.88,42291.0,6.47,167261.0,6.23,356042.0,53.78,175702.0,37.37,-58997.0,-9.49,433811.0,18.29,41098.0,5.82,-135214.0,-32.75,41243.0,7.27,230934.0,9.97,-11281.0,-1.87,25760.0,7.43,-9865.0,-1.89,-28537.0,-1.34
