,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,35442.0,30815.0,54668.0,70686.0,35698.0,87954.0,160037.0,214627.0,,,,,,,,
其他應付款增加（減少）,-91490.0,-40394.0,-8277.0,34582.0,-66929.0,32990.0,80030.0,27993.0,-71985.0,-32888.0,47158.0,72180.0,-125657.0,-70502.0,-24168.0,45147.0
其他應收款（增加）減少,14424.0,14464.0,15948.0,15262.0,544.0,-4740.0,45.0,677.0,-418.0,-3031.0,-1330.0,-328.0,-823.0,-10712.0,-945.0,-678.0
其他流動負債增加（減少）,-400.0,3433.0,7260.0,1224.0,-116.0,2161.0,11973.0,10299.0,-4835.0,-3847.0,-1994.0,24020.0,10639.0,29585.0,-16317.0,-13933.0
其他流動資產（增加）減少,-160866.0,47319.0,32969.0,-6167.0,-62658.0,48793.0,23972.0,39506.0,-156127.0,-20554.0,-38035.0,-25102.0,-168372.0,-14220.0,8235.0,-136430.0
其他項目,202.0,410.0,618.0,826.0,213.0,425.0,636.0,852.0,221.0,432.0,657.0,875.0,218.0,440.0,631.0,838.0
利息收入,-345.0,-756.0,-1213.0,-1934.0,-1238.0,-1504.0,-1610.0,-1876.0,-142.0,-405.0,-576.0,-932.0,-334.0,-903.0,-1033.0,-1229.0
利息費用,5062.0,10198.0,14068.0,5532.0,7533.0,15563.0,23872.0,32107.0,8385.0,16695.0,25046.0,33039.0,7994.0,15431.0,22160.0,28380.0
匯率變動對現金及約當現金之影響,-2062.0,3277.0,2379.0,3555.0,765.0,704.0,561.0,673.0,188.0,375.0,701.0,-127.0,-1179.0,-2933.0,-5779.0,-15721.0
取得不動產、廠房及設備,-16965.0,-120921.0,-357366.0,-703265.0,-190185.0,-474340.0,-600900.0,-595174.0,-27212.0,-103892.0,-277286.0,-290816.0,-10826.0,-44319.0,-56129.0,-92206.0
呆帳費用提列（轉列收入）數,1241.0,38.0,633.0,-2083.0,-296.0,-427.0,-427.0,-296.0,0.0,0.0,0.0,0.0,,,203.0,203.0
存入保證金增加,0.0,4.0,3.0,3.0,-1014.0,-1088.0,-1088.0,,,,,,,,,
存出保證金增加,0.0,-1526.0,-1527.0,-1753.0,226.0,226.0,341.0,350.0,,,,175.0,,,,20071.0
存貨（增加）減少,185226.0,-54083.0,51049.0,71638.0,-141443.0,-314391.0,-123037.0,-235556.0,131128.0,-101682.0,20159.0,-46511.0,139378.0,21693.0,170730.0,273620.0
應付帳款增加（減少）,-83011.0,-45949.0,-101710.0,-121753.0,-7490.0,97638.0,127083.0,148380.0,-47042.0,3101.0,15780.0,31083.0,-81906.0,-9399.0,-25936.0,62043.0
應付票據增加（減少）,,-1256.0,-1834.0,-2358.0,,0.0,8.0,0.0,,,0.0,,,,,
應收帳款（增加）減少,-159780.0,60653.0,-87794.0,-90574.0,117773.0,-49635.0,-199469.0,-89817.0,-123821.0,35098.0,-197281.0,-82516.0,-49476.0,81884.0,-64852.0,-164568.0
