,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
其他利益及損失淨額,6769.0,0.2,-72327.0,-2.47,-9171.0,-0.25,18911.0,0.13,75635.0,2.07,-33937.0,-0.98,-104847.0,-2.58,-169460.0,-1.02,-173157.0,-5.06,-48680.0,-1.4,32001.0,0.76,-176958.0,-1.04,19101.0,0.43,56606.0,1.32,-14289.0,-0.28,68041.0,0.34
其他收入,77976.0,2.35,53888.0,1.84,46175.0,1.24,278057.0,1.84,65189.0,1.78,118308.0,3.43,41803.0,1.03,2194562.0,13.26,109268.0,3.19,89587.0,2.58,122863.0,2.9,468593.0,2.76,107844.0,2.44,98276.0,2.3,92292.0,1.8,433016.0,2.15
其他綜合損益（淨額）,35170.0,1.06,170149.0,5.82,-52128.0,-1.39,245417.0,1.63,65242.0,1.78,-140262.0,-4.07,40592.0,1.0,156589.0,0.95,-437809.0,-12.78,-16072.0,-0.46,455841.0,10.76,-291566.0,-1.72,-33050.0,-0.75,-158746.0,-3.71,-323582.0,-6.31,-667728.0,-3.31
國外營運機構財務報表換算之兌換差額,42374.0,1.28,204998.0,7.01,-30240.0,-0.81,326470.0,2.17,78605.0,2.15,-168991.0,-4.9,48907.0,1.2,188365.0,1.14,-527480.0,-15.4,-19364.0,-0.56,549206.0,12.97,-338012.0,-1.99,-39819.0,-0.9,-191260.0,-4.47,-389858.0,-7.6,-801106.0,-3.97
基本每股盈餘,0.41,,-0.75,,0.73,,4.25,,1.41,,0.52,,0.85,,8.73,,-0.19,,-0.53,,0.73,,1.85,,-0.19,,0.14,,0.54,,2.36,
所得稅費用（利益）合計,24737.0,0.75,13321.0,0.46,67796.0,1.81,65311.0,0.43,63934.0,1.75,28455.0,0.83,52870.0,1.3,639597.0,3.86,6211.0,0.18,164094.0,4.72,48919.0,1.16,304907.0,1.8,-16890.0,-0.38,87857.0,2.05,26355.0,0.51,285988.0,1.42
推銷費用,763302.0,23.01,651080.0,22.26,586523.0,15.69,2795065.0,18.55,681085.0,18.6,665399.0,19.3,530417.0,13.06,2919435.0,17.64,768374.0,22.44,700262.0,20.13,709797.0,16.76,3081190.0,18.15,956796.0,21.68,760395.0,17.77,848935.0,16.55,4091763.0,20.29
本期淨利（淨損）,80303.0,2.42,-152005.0,-5.2,148562.0,3.97,856940.0,5.69,284002.0,7.75,157941.0,4.58,257308.0,6.34,2637645.0,15.94,-58060.0,-1.7,-161732.0,-4.65,220763.0,5.21,564080.0,3.32,-58572.0,-1.33,44000.0,1.03,163389.0,3.19,716419.0,3.55
本期綜合損益總額,115473.0,3.48,18144.0,0.62,96434.0,2.58,1102357.0,7.31,349244.0,9.54,17679.0,0.51,297900.0,7.34,2794234.0,16.88,-495869.0,-14.48,-177804.0,-5.11,676604.0,15.98,272514.0,1.61,-91622.0,-2.08,-114746.0,-2.68,-160193.0,-3.12,48691.0,0.24
母公司業主（淨利／損）,82610.0,2.49,-150122.0,-5.13,146282.0,3.91,856968.0,5.69,283890.0,7.75,157945.0,4.58,256899.0,6.33,2637700.0,15.94,-58167.0,-1.7,-161821.0,-4.65,221472.0,5.23,563605.0,3.32,-58916.0,-1.34,44000.0,1.03,163286.0,3.18,716180.0,3.55
