,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,44508.0,89546.0,132794.0,186880.0,43189.0,89848.0,134202.0,134202.0,175254.0,,,,,,,
其他應付款增加（減少）,-9072.0,-9331.0,5205.0,-1211.0,16452.0,15775.0,-8502.0,-8502.0,32760.0,-33309.0,-15604.0,36545.0,-18157.0,-12273.0,-18109.0,14763.0
其他應收款（增加）減少,8469.0,-229.0,907.0,4326.0,-1721.0,-12819.0,-21249.0,-21249.0,-3294.0,1507.0,-18276.0,-1951.0,20025.0,18681.0,12060.0,12496.0
其他流動負債增加（減少）,15151.0,5578.0,4874.0,5530.0,-3502.0,-1548.0,-2902.0,-2902.0,-4160.0,-515.0,4070.0,4069.0,-4363.0,-8381.0,-7455.0,-7062.0
其他流動資產（增加）減少,-4730.0,-4658.0,-4741.0,-5710.0,-935.0,237.0,-44.0,-44.0,-1233.0,6047.0,-172.0,7479.0,-322.0,-525.0,-175.0,-67.0
其他非流動資產增加,-1958.0,3911.0,-1630.0,-131878.0,9738.0,6109.0,20715.0,20715.0,17008.0,-224.0,-6435.0,-1415.0,-78.0,-435.0,3291.0,3648.0
其他項目,,,,,,,,,,,,,,,,-31000.0
利息收入,-384.0,-926.0,-1365.0,-2113.0,-542.0,-1238.0,-1831.0,-1831.0,-2553.0,-1345.0,-1873.0,-3114.0,-3163.0,-7552.0,-12085.0,-16871.0
利息費用,15438.0,30411.0,44910.0,59849.0,14939.0,30823.0,45654.0,45654.0,59330.0,24280.0,35090.0,45553.0,8868.0,16817.0,25079.0,32788.0
匯率變動對現金及約當現金之影響,537.0,628.0,345.0,464.0,362.0,125.0,225.0,225.0,365.0,-51.0,544.0,4495.0,-25053.0,-33864.0,-57079.0,-64709.0
