,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,4670.0,12044.0,17080.0,21203.0,2308.0,4654.0,8437.0,12598.0,,,,,,,,
償還長期借款,,,,,,,,,,,,,,-1500.0,-5500.0,-11167.0
其他應付款增加（減少）,-245.0,-407.0,350.0,4096.0,-1118.0,60.0,1117.0,18498.0,-9110.0,-15856.0,8661.0,-2591.0,-10128.0,-17080.0,7594.0,10816.0
其他流動負債增加（減少）,152.0,196.0,116.0,185.0,-27.0,-82.0,39.0,-89.0,13.0,128.0,223.0,1191.0,100.0,155.0,-1105.0,-1084.0
其他流動資產（增加）減少,-6.0,-7.0,713.0,692.0,-3.0,-3.0,-3.0,-1250.0,93.0,-869.0,-880.0,-1579.0,-115.0,2027.0,704.0,-839.0
其他金融資產增加,,,,-5400.0,-16.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-17.0,-1566.0,-26507.0,-34927.0,0.0
其他非流動資產增加,-738.0,,-1715.0,-1135.0,-549.0,-1948.0,-3076.0,-4897.0,-29228.0,-30843.0,-42012.0,0.0,0.0,0.0,0.0,-30554.0
其他非流動資產減少,,504.0,,,,,,,,,,,,,,
其他項目,-23.0,,,,,,,,,,,,,,,
利息收入,-200.0,-450.0,-673.0,-1075.0,-625.0,-1660.0,-2323.0,-2776.0,-502.0,-1032.0,-1327.0,-1627.0,-319.0,-865.0,-1041.0,-1380.0
利息費用,,1.0,31.0,31.0,,0.0,0.0,17.0,,,68.0,233.0,327.0,1881.0,3370.0,5135.0
匯率變動對現金及約當現金之影響,,,,,,,,286.0,-93.0,-197.0,-8.0,-424.0,-12.0,-191.0,481.0,166.0
取得不動產、廠房及設備,-5409.0,-8212.0,-16675.0,-26857.0,-3971.0,-20394.0,-22422.0,-125759.0,-26143.0,-71524.0,-101313.0,-204507.0,-71654.0,-88857.0,-119357.0,-224582.0
取得以成本衡量之金融資產,,,,,,,,,,,-15000.0,-15000.0,,,0.0,0.0
取得原始認列時指定為透過損益按公允價值衡量之金融資產,,,,,,,,,,,,,,-90000.0,,
取得無形資產,-404.0,-451.0,-451.0,-879.0,0.0,0.0,0.0,-511.0,,-458.0,-644.0,-762.0,-94.0,-83.0,-4940.0,-5740.0
取得無活絡市場之債券投資,-20312.0,-20400.0,-29056.0,-25899.0,16703.0,30285.0,21159.0,20734.0,,,,,,,,
取得無活絡市場之債務工具投資,,,,,,,,,,9495.0,,,,,,
取得透過其他綜合損益按公允價值衡量之金融資產,-74559.0,-74559.0,-74559.0,-74559.0,-388500.0,-388500.0,-388500.0,-407161.0,-9495.0,-9495.0,-9495.0,-9495.0,0.0,,-90000.0,-90000.0
呆帳費用提列（轉列收入）數,,,,,,,,1263.0,1080.0,1080.0,1899.0,2535.0,0.0,0.0,0.0,0.0
存入保證金增加,,,,,,,,,,,,0.0,,,,
存入保證金減少,,,,-20000.0,,,,42.0,,,,,,,,-42.0
存出保證金增加,-630.0,-630.0,-1200.0,-1200.0,0.0,780.0,453.0,453.0,,,,,,,,
存出保證金減少,,,,,,,,,,571.0,571.0,436.0,630.0,630.0,630.0,605.0
存貨（增加）減少,-6978.0,-12111.0,-28618.0,-25937.0,-1267.0,699.0,8207.0,7625.0,5575.0,6720.0,12408.0,15900.0,4407.0,12100.0,12091.0,14646.0
庫藏股票買回成本,,,,,,,,,-39029.0,-39029.0,-125806.0,-125806.0,0.0,0.0,0.0,0.0
應付帳款增加（減少）,-2714.0,375.0,-481.0,-6074.0,4642.0,3530.0,180.0,-58.0,5029.0,6554.0,5578.0,5751.0,-1534.0,-1603.0,-155.0,4175.0
應付票據增加（減少）,-1583.0,-204.0,-3636.0,-1090.0,-1652.0,-564.0,-3093.0,-3476.0,713.0,1997.0,1419.0,-445.0,-326.0,-181.0,738.0,1473.0
應收帳款（增加）減少,6141.0,8093.0,5280.0,-5645.0,-10365.0,-9740.0,-4988.0,-1001.0,-10641.0,-21817.0,-40706.0,-42269.0,44163.0,43023.0,28292.0,29697.0
應收帳款－關係人（增加）減少,18379.0,8854.0,5599.0,16729.0,-420.0,-210.0,-420.0,-420.0,210.0,420.0,210.0,-6300.0,-336.0,-746.0,-965.0,-11005.0
應收票據（增加）減少,-461.0,-498.0,117.0,-433.0,506.0,-5499.0,-3850.0,-5829.0,2299.0,-751.0,2399.0,4399.0,2000.0,1900.0,2000.0,782.0
應計退休金負債增加（減少）,342.0,681.0,1020.0,1359.0,450.0,894.0,1337.0,1779.0,,,,,,,,
投資活動之淨現金流入（流出）,-40861.0,-42558.0,-62465.0,-74739.0,-376333.0,-354261.0,-366870.0,-267263.0,-45935.0,-83620.0,-53908.0,-115161.0,-72684.0,-204817.0,-248594.0,-164068.0
折舊費用,5497.0,11155.0,16845.0,22502.0,4887.0,9717.0,14325.0,18908.0,4727.0,9611.0,14628.0,19522.0,4927.0,10112.0,15339.0,20654.0
攤銷費用,40.0,95.0,150.0,210.0,62.0,125.0,169.0,230.0,70.0,152.0,237.0,323.0,69.0,124.0,311.0,578.0
支付之利息,,-1.0,-31.0,-31.0,,0.0,0.0,-17.0,,,-68.0,-233.0,-327.0,-1625.0,-3098.0,-4691.0
收取之利息,13.0,287.0,300.0,527.0,860.0,1958.0,2716.0,3192.0,403.0,995.0,1426.0,1744.0,269.0,956.0,1153.0,1496.0
收益費損項目合計,,,,,,,,,5040.0,10605.0,15375.0,20508.0,4783.0,10811.0,17319.0,24317.0
