,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,27221.0,39043.0,30417.0,36657.0,-26888.0,-64976.0,-142582.0,-63381.0,,,,,,,,
其他應付款增加（減少）,-11986.0,-11864.0,-9373.0,-9875.0,4404.0,3193.0,133.0,5245.0,-522.0,-1213.0,-167.0,6237.0,145.0,5963.0,12560.0,-6989.0
其他應收款（增加）減少,5793.0,4117.0,5802.0,5740.0,-280.0,-16026.0,77.0,65.0,379.0,426.0,-2690.0,-8.0,69.0,3711.0,3365.0,3893.0
其他流動負債增加（減少）,3.0,20.0,4096.0,-14.0,5.0,6.0,2.0,16.0,-10.0,10.0,-2.0,10.0,-21.0,3.0,-7.0,-21.0
其他流動資產（增加）減少,21.0,21.0,-922.0,21.0,-8.0,-11.0,4.0,4.0,-289.0,-299.0,0.0,0.0,-260.0,0.0,,
其他非流動資產增加,,,0.0,,,,,,,,,,,,,
其他項目,,0.0,0.0,265.0,,,,5356.0,-500.0,-500.0,-700.0,745.0,-450.0,-450.0,-850.0,10538.0
利息收入,-1.0,-98.0,-113.0,-597.0,-102.0,-120.0,-522.0,-539.0,-12.0,-1064.0,-1064.0,-1391.0,-130.0,-1658.0,-1659.0,-1660.0
利息費用,3425.0,7284.0,11063.0,13446.0,3653.0,7456.0,11502.0,18534.0,5604.0,10212.0,14933.0,21072.0,5700.0,11902.0,19828.0,23753.0
匯率變動對現金及約當現金之影響,-53.0,-64.0,-35.0,-52.0,-44.0,-3.0,-41.0,-141.0,-10.0,-23.0,38.0,37.0,-20.0,-326.0,-362.0,-22.0
取得不動產、廠房及設備,0.0,-518.0,-518.0,-518.0,,0.0,0.0,0.0,,,,,,-19.0,-19.0,-84.0
呆帳費用提列（轉列收入）數,-485.0,-2550.0,78.0,891.0,-2404.0,-5704.0,5600.0,20292.0,-1009.0,3176.0,1653.0,567.0,-2120.0,13264.0,51256.0,49971.0
存入保證金增加,,,,,,,,,,60.0,60.0,64.0,,0.0,0.0,0.0
存出保證金增加,-436.0,-839.0,-1072.0,,,,-285.0,-2349.0,,,0.0,0.0,,,,
