,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,-33364.0,-24932.0,-22546.0,4942.0,10202.0,20550.0,49584.0,60361.0,,,,,,,,
以成本衡量之金融資產減資退回股款,,,,,,,4932.0,4932.0,,,0.0,0.0,,,,
停業單位稅前淨利（淨損）,,,,,,,,,,,,,,,0.0,
其他應付款增加（減少）,-29309.0,-24667.0,-20551.0,-6800.0,-17323.0,-10751.0,-10547.0,7019.0,-16823.0,-17602.0,-16461.0,-6418.0,-14540.0,-9144.0,-12675.0,-4292.0
其他應收款（增加）減少,-279.0,-1000.0,-2437.0,-174.0,154.0,-56.0,473.0,495.0,-84.0,5.0,2334.0,2513.0,0.0,-2647.0,0.0,-19.0
其他流動負債增加（減少）,398.0,379.0,411.0,2388.0,422.0,-1984.0,-2043.0,-2108.0,202.0,-291.0,-584.0,-290.0,-191.0,13630.0,13473.0,96.0
其他流動資產（增加）減少,-182.0,-1948.0,-4335.0,1210.0,-1647.0,103.0,-723.0,-377.0,-146.0,41.0,277.0,1265.0,-1027.0,-2607.0,-1259.0,-243.0
其他營業負債增加（減少）,,,,,,,,,,,,,,64243.0,60920.0,
其他營業資產（增加）減少,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
其他現金流入（出）,,,,,,,,,121739.0,,,,,,,
其他籌資活動,19241.0,13357.0,6011.0,0.0,0.0,0.0,0.0,,,,,,,,,
其他金融資產（增加）減少,-18000.0,427225.0,357225.0,104585.0,65980.0,165980.0,155980.0,163480.0,194000.0,73000.0,133000.0,24000.0,-164000.0,-375720.0,-583300.0,-638098.0
其他非流動資產增加,,,,,,,,,,,0.0,0.0,,,,
其他非流動資產減少,43.0,53.0,211.0,258.0,30.0,19.0,-69.0,-43.0,30.0,21.0,61.0,89.0,32.0,23.0,63.0,
其他項目,-1436.0,-1436.0,-1436.0,-1436.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
利息收入,-3208.0,-6122.0,-8488.0,-11339.0,-2969.0,-5971.0,-8717.0,-11510.0,-2717.0,-5942.0,-9061.0,-12220.0,-2905.0,-5840.0,-9080.0,-12279.0
利息費用,,,0.0,0.0,,,,,,,,,,,,
匯率變動對現金及約當現金之影響,-3.0,-10.0,15.0,-5.0,-61.0,-3.0,-57.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,,
取得不動產、廠房及設備,-463.0,-6251.0,-8798.0,-10222.0,-1116.0,-1868.0,-3616.0,-12951.0,-1003.0,-3154.0,-4131.0,-11035.0,0.0,-1567.0,-3066.0,-14405.0
取得以成本衡量之金融資產,0.0,0.0,0.0,0.0,0.0,0.0,,-22615.0,,,,0.0,,,,
取得備供出售金融資產,0.0,-86974.0,-111349.0,-111349.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
取得原始認列時指定為透過損益按公允價值衡量之金融資產,-82000.0,-447000.0,-462000.0,-606474.0,-40000.0,-92000.0,-112000.0,-142000.0,0.0,-53000.0,0.0,,,,,
取得子公司股權,,,,,,,,,,,,,,,,0.0
取得採用權益法之投資,,,,-71840.0,,,,0.0,-9918.0,-9918.0,-16604.0,-16604.0,0.0,-110111.0,-110111.0,
取得無形資產,-7913.0,-8095.0,-11166.0,-11272.0,0.0,-394.0,-4914.0,-4996.0,-434.0,-434.0,-434.0,-510.0,-1884.0,-2515.0,-4427.0,-7866.0
取得透過其他綜合損益按公允價值衡量之金融資產,,,,,,,,,-49000.0,,,,,,,
呆帳費用提列（轉列收入）數,464.0,80.0,-5.0,-58.0,91.0,149.0,29.0,-56.0,-247.0,-522.0,-583.0,-663.0,-21.0,-25.0,-25.0,-25.0
員工執行認股權,,19241.0,28988.0,34999.0,,0.0,0.0,0.0,,,,700.0,,,,250.0
因合併產生之現金流入,,,0.0,0.0,,,,,,,,,,,,
存入保證金增加,,,,,,,,,,33.0,33.0,33.0,,0.0,0.0,0.0
存出保證金增加,,,,,,,,,,-50.0,-50.0,-50.0,,0.0,0.0,-3.0
存貨（增加）減少,-25110.0,-41648.0,-56911.0,-39392.0,-28365.0,24358.0,24835.0,54825.0,-2291.0,4644.0,16.0,-17708.0,7989.0,6212.0,-3374.0,-14538.0
應付帳款增加（減少）,-6108.0,-2685.0,-13467.0,-8072.0,40703.0,25072.0,23914.0,12997.0,-20972.0,-41837.0,-43927.0,-48444.0,-1738.0,810.0,654.0,382.0
應付票據增加（減少）,-1807.0,-1762.0,-1512.0,-1807.0,0.0,5.0,55.0,55.0,88.0,-60.0,-60.0,518.0,161.0,-553.0,-557.0,-578.0
應收帳款（增加）減少,4698.0,7984.0,-9324.0,20677.0,-16554.0,19558.0,-9488.0,15711.0,9163.0,10460.0,12240.0,8570.0,2718.0,2607.0,1770.0,652.0
應收帳款－關係人（增加）減少,,,,,,,,,,,,,,,,-1114.0
應收票據（增加）減少,-22689.0,-28628.0,993.0,-18877.0,8108.0,-22445.0,1751.0,-3221.0,20666.0,47806.0,52145.0,60508.0,1778.0,2161.0,2161.0,2161.0
應計退休金負債增加（減少）,-35.0,-71.0,-107.0,-142.0,-31.0,-61.0,-92.0,-123.0,,,,,,,,
