,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,169687.0,296298.0,444207.0,441068.0,134015.0,269914.0,443047.0,553286.0,,,,,,,,
償還長期借款,,,,,,,,,,,,,,0.0,0.0,0.0
其他應付款增加（減少）,13453.0,-59802.0,-3124.0,81974.0,-39443.0,-171397.0,-93496.0,-206068.0,-22077.0,-52882.0,-14428.0,2750.0,6977.0,-51982.0,-3702.0,34117.0
其他應收款（增加）減少,-18306.0,-26207.0,-58574.0,-65196.0,-13807.0,-20753.0,-115666.0,-37801.0,3211.0,-3715.0,-15982.0,-8631.0,-1639.0,1543.0,-266.0,10058.0
其他投資活動,,,,,,,,,,0.0,,,,,,
其他流動負債增加（減少）,1809.0,75647.0,121.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,57.0,0.0,,,0.0,
其他流動資產（增加）減少,,0.0,,,,,,,,,,,,,,
其他營業負債增加（減少）,164.0,306.0,,,,,,,,,,,,,,
其他營業資產（增加）減少,-115037.0,-2492.0,,,0.0,0.0,,,,,,,,,,
其他金融負債減少,,,0.0,,0.0,0.0,0.0,,,,,,,,,
其他金融資產增加,,,-1568.0,-850.0,973.0,18246.0,15609.0,15791.0,-447.0,1089.0,-531131.0,-284216.0,-141676.0,-3559.0,-4097.0,280119.0
其他金融資產減少,,,,,,,,,,,,0.0,,163091.0,237286.0,
其他非流動資產減少,,,,,,,,,,,,7171.0,222.0,,529.0,
其他項目,41980.0,73289.0,98364.0,11396.0,16884.0,49220.0,93423.0,88322.0,16025.0,49856.0,91565.0,78151.0,-15325.0,22322.0,54387.0,123715.0
利息收入,,,,-37646.0,-5281.0,-17657.0,-21676.0,-32308.0,-3613.0,-14470.0,-22446.0,-30689.0,-6823.0,-15667.0,-21899.0,-27844.0
利息費用,1413.0,3001.0,5249.0,7916.0,4175.0,1607.0,3139.0,4139.0,1411.0,2892.0,5512.0,9018.0,7844.0,11205.0,23209.0,36116.0
匯率變動對現金及約當現金之影響,-20948.0,21518.0,16330.0,16840.0,2439.0,6933.0,-4283.0,-21840.0,3208.0,4634.0,-9863.0,1757.0,6099.0,24534.0,46588.0,46367.0
取得不動產、廠房及設備,-143656.0,-299796.0,-505790.0,-738918.0,-286930.0,-546195.0,-736044.0,-842242.0,-292304.0,-369364.0,-577861.0,-646829.0,-230642.0,-356567.0,-401262.0,-418480.0
取得以成本衡量之金融資產,,,,,,,,,,,,,-25182.0,-25182.0,-25182.0,-25182.0
取得採用權益法之投資,,-107388.0,-107388.0,-107388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得無形資產,,-10641.0,-11109.0,-18215.0,-585.0,-1257.0,-1949.0,-5358.0,-188.0,-323.0,-5037.0,-11020.0,-1473.0,-2770.0,-7900.0,-11416.0
呆帳費用提列（轉列收入）數,28.0,35.0,-2.0,5.0,2.0,98.0,211.0,66.0,-15.0,-37.0,-77.0,-43.0,-8.0,123.0,250.0,596.0
存入保證金增加,,,,,,,,1656.0,20000.0,20000.0,20884.0,21741.0,2727.0,2728.0,,
存入保證金減少,,,,0.0,,,,,,,,,,,-1392.0,-1686.0
存出保證金增加,,,,-988.0,,,,,,,,,,,,
存出保證金減少,,,,,,,,,,,,,,,,709.0
存貨（增加）減少,-396676.0,-488544.0,-582835.0,-647254.0,-138424.0,-212714.0,-221232.0,-740.0,31043.0,87039.0,74790.0,211519.0,20020.0,91897.0,106798.0,234501.0
應付帳款增加（減少）,71167.0,56022.0,75455.0,41363.0,-39417.0,-44028.0,-69424.0,-210624.0,109291.0,137658.0,71422.0,37247.0,63337.0,49187.0,37971.0,-21330.0
應付票據增加（減少）,113.0,-713.0,-279.0,35.0,-307.0,-834.0,396.0,73.0,31954.0,-1032.0,6890.0,-158.0,49126.0,23392.0,330.0,6.0
應付租賃款減少,,,,0.0,,,,,,,,,,,,
應收帳款（增加）減少,242547.0,-29151.0,154703.0,-128194.0,342587.0,189612.0,106171.0,447585.0,-130044.0,-36526.0,-125212.0,-344198.0,221952.0,189542.0,252966.0,228232.0
應收帳款－關係人（增加）減少,,,,-1118.0,,,,,,,,,,,,
應收票據（增加）減少,-468.0,-5.0,-2646.0,-230.0,-1378.0,-11506.0,230.0,203.0,27.0,-8944.0,27.0,27.0,0.0,0.0,0.0,0.0
應計退休金負債增加（減少）,,,449.0,86.0,31.0,85.0,156.0,972.0,,,,,,,,
投資活動之淨現金流入（流出）,-143656.0,-623676.0,-985659.0,-1346487.0,-371012.0,-676051.0,-881986.0,-1006514.0,-269640.0,-343468.0,-1118046.0,-944172.0,-431812.0,-238911.0,-218655.0,-202318.0
折舊費用,101734.0,211163.0,323334.0,437569.0,114494.0,229176.0,341935.0,458019.0,117868.0,235223.0,353819.0,471133.0,112721.0,221814.0,327235.0,435391.0
採用權益法認列之關聯企業及合資損失（利益）之份額,0.0,2375.0,11416.0,16791.0,334.0,3822.0,9048.0,15498.0,-754.0,-754.0,-754.0,-754.0,0.0,0.0,0.0,0.0
攤銷費用,2136.0,4489.0,7087.0,9949.0,3315.0,6536.0,9750.0,13082.0,2905.0,5931.0,8465.0,11386.0,2966.0,5873.0,6785.0,9450.0
支付之利息,-1413.0,-3001.0,-5249.0,-7916.0,-4175.0,-1607.0,-3139.0,-4139.0,-1411.0,-2892.0,-5512.0,-9018.0,-7844.0,-11205.0,-23209.0,-21337.0
收取之利息,,,,37646.0,5141.0,17445.0,21978.0,32431.0,3350.0,14267.0,22286.0,30539.0,6845.0,,21899.0,
收取之股利,,,,,,,,,,,,,,16788.0,,27844.0
收益費損項目合計,,,,,,,,,130732.0,185448.0,345437.0,444214.0,98850.0,248244.0,395440.0,591732.0
期初現金及約當現金餘額,3035012.0,3035012.0,3035012.0,3035012.0,2289428.0,2289428.0,2289428.0,2289428.0,1927603.0,1927603.0,1927603.0,1927603.0,2335697.0,2335697.0,2335697.0,2335697.0
期末現金及約當現金餘額,3411045.0,3378997.0,2734079.0,2289428.0,2792770.0,2184375.0,1303052.0,1927603.0,2007522.0,2409774.0,1846093.0,2335697.0,2559704.0,2964318.0,3137413.0,3707151.0
未實現外幣兌換損失（利益）,20647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
