,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,278093.0,309900.0,336301.0,559861.0,21525.0,74154.0,105736.0,113068.0,,,,,,,,
以成本衡量之金融資產減資退回股款,,0.0,3822.0,9371.0,,,37667.0,37423.0,,-31430.0,0.0,0.0,,,,
償還公司債,-696.0,-696.0,-1483.0,-3559.0,-697.0,-3973.0,-3367.0,-322445.0,0.0,0.0,0.0,0.0,,,,
償還長期借款,,,,,-18333.0,,-92500.0,-148333.0,-63834.0,-127667.0,-173167.0,-218667.0,-37500.0,-21000.0,-66500.0,-273000.0
其他應付款增加（減少）,-3093.0,4812.0,8461.0,11634.0,-17674.0,-15522.0,-3315.0,16897.0,-18396.0,-18037.0,-9692.0,-4893.0,-14507.0,-11041.0,-4328.0,-8758.0
其他應收款（增加）減少,,,,665.0,,,,-157.0,,,,2881.0,,,,-314.0
其他流動負債增加（減少）,55.0,692.0,-1742.0,8941.0,-5349.0,-11521.0,-9489.0,602.0,-7096.0,-5021.0,-1491.0,1643.0,4979.0,-15094.0,-21198.0,-21238.0
其他流動資產（增加）減少,-9849.0,-10326.0,-11908.0,-8946.0,-7347.0,-7316.0,-9690.0,-3056.0,-6364.0,6689.0,2959.0,,-11060.0,-30471.0,-11181.0,
其他金融資產（增加）減少,56408.0,,,,12593.0,,,,,,,,,,,
其他非流動負債增加,,390.0,391.0,-4872.0,,0.0,0.0,,0.0,,,,,0.0,,
其他非流動負債減少,,,,,,,,5110.0,-48.0,-302.0,,0.0,,,,
其他非流動資產減少,-2113.0,-20675.0,-36524.0,-29480.0,-3798.0,-7850.0,-13670.0,-7772.0,-37414.0,6064.0,1662.0,-7007.0,-101.0,-1812.0,-10123.0,1179.0
利息收入,-3348.0,-6831.0,-9747.0,-12936.0,-6168.0,-10634.0,-13577.0,-15161.0,-5782.0,-10670.0,-15957.0,-23457.0,-5724.0,-12251.0,-20836.0,-23216.0
