,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
備供出售金融資產未實現評價損益,,,,,,,11587.0,0.56,1035.0,0.24,100384.0,19.22,-53547.0,-13.04,-32049.0,-1.53,-75949.0,-24.85,-2301.0,-0.32,21537.0,3.6,-97800.0,-4.08,-29821.0,-8.27,-30485.0,-4.77,-41418.0,-10.43,-42413.0,-1.92
其他利益及損失淨額,2562.0,0.69,1516.0,0.38,5562.0,0.86,-7326.0,-0.36,-6011.0,-1.42,14328.0,2.74,-11763.0,-2.86,-15830.0,-0.76,5308.0,1.74,-14960.0,-2.07,-20596.0,-3.44,-28185.0,-1.18,-2186.0,-0.61,-2075.0,-0.32,-6762.0,-1.7,-16522.0,-0.75
其他收入,1188.0,0.32,2208.0,0.55,1016.0,0.16,8042.0,0.39,5562.0,1.32,647.0,0.12,191.0,0.05,7689.0,0.37,3341.0,1.09,1686.0,0.23,1568.0,0.26,7656.0,0.32,2040.0,0.57,1535.0,0.24,1256.0,0.32,6941.0,0.31
其他綜合損益（淨額）,3179.0,0.86,1712.0,0.43,-1429.0,-0.22,17516.0,0.85,740.0,0.18,97861.0,18.74,-55163.0,-13.43,-19222.0,-0.92,-69805.0,-22.84,-5300.0,-0.73,29182.0,4.88,-87625.0,-3.66,-30531.0,-8.47,-32951.0,-5.15,-44293.0,-11.15,-78850.0,-3.58
國外營運機構財務報表換算之兌換差額,3830.0,1.04,2063.0,0.52,-1722.0,-0.26,7143.0,0.35,-356.0,-0.08,-3039.0,-0.58,6649.0,1.62,12496.0,0.6,-3578.0,-1.17,-3947.0,-0.55,12324.0,2.06,-1883.0,-0.08,-5294.0,-1.47,-7377.0,-1.15,-9460.0,-2.38,-26930.0,-1.22
基本每股盈餘,0.04,,0.73,,1.0,,2.42,,0.28,,0.66,,0.28,,2.04,,-0.31,,0.78,,0.52,,1.73,,0.03,,0.11,,0.11,,1.14,
所得稅費用（利益）合計,4406.0,1.2,22814.0,5.71,33597.0,5.17,85815.0,4.16,9769.0,2.31,11216.0,2.15,7896.0,1.92,60615.0,2.9,-6068.0,-1.99,20450.0,2.83,22691.0,3.79,60181.0,2.51,8261.0,2.29,23355.0,3.65,9412.0,2.37,67130.0,3.04
採用權益法認列之關聯企業及合資損益之份額淨額,,,,,,,,,,,,,,,,,,,,,,,,,-586.0,-0.16,-139.0,-0.02,-1455.0,-0.37,-2517.0,-0.11
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,,,,,,,,,,,,,,,,,,,,,,,,,106.0,0.03,-2.0,0.0,8.0,0.0,107.0,0.0
推銷費用,29506.0,8.0,23346.0,5.85,26660.0,4.1,111162.0,5.39,21010.0,4.97,21910.0,4.2,31576.0,7.69,95402.0,4.56,19208.0,6.29,31644.0,4.37,31025.0,5.19,136711.0,5.71,32934.0,9.13,34539.0,5.4,30427.0,7.66,137452.0,6.23
本期淨利（淨損）,4090.0,1.11,86600.0,21.68,118940.0,18.29,291671.0,14.14,35903.0,8.5,84725.0,16.23,36415.0,8.87,263793.0,12.62,-56221.0,-18.4,105205.0,14.54,71516.0,11.96,222687.0,9.3,9128.0,2.53,12326.0,1.93,14775.0,3.72,160604.0,7.28
本期綜合損益總額,7269.0,1.97,88312.0,22.11,117511.0,18.07,309187.0,14.99,36643.0,8.67,182586.0,34.97,-18748.0,-4.57,244571.0,11.7,-126026.0,-41.24,99905.0,13.81,100698.0,16.84,135062.0,5.64,-21403.0,-5.94,-20625.0,-3.23,-29518.0,-7.43,81754.0,3.71
母公司業主（淨利／損）,4847.0,1.31,88055.0,22.05,120797.0,18.57,296862.0,14.39,36326.0,8.6,85383.0,16.35,36852.0,8.97,265766.0,12.71,-40250.0,-13.17,101072.0,13.97,67548.0,11.29,226518.0,9.46,4522.0,1.25,14723.0,2.3,15137.0,3.81,158932.0,7.21
