,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
備供出售金融資產未實現評價損益,"-1,434,252",-10.29,"-1,434,252",-10.29,"-1,407,949",-7.74,"506,811",2.88,"-1,034,586",-1.47,"-868,227",-5.34,"-854,392",-4.03,"-214,124",-1.08,"1,186,536",1.53,"4,758,940",30.98,"-1,975,459",-11.7,"-676,921",-4.01,"-1,216,565",-1.84,"-7,003,495",-53.71,"-1,016,370",-6.34,"27,393",0.18
其他利益及損失淨額,"-491,001",-3.52,"-491,001",-3.52,"234,770",1.29,"-249,245",-1.42,"-259,150",-0.37,"-523,400",-3.22,"586,919",2.77,"20,354",0.1,"1,209,572",1.56,"79,844",0.52,"953,276",5.64,"-1,138,894",-6.75,"-66,725",-0.1,"-24,603",-0.19,"-772,378",-4.82,"-185,201",-1.23
其他收入,"1,140,953",8.19,"1,140,953",8.19,"676,200",3.72,"335,213",1.9,"2,324,762",3.31,"242,432",1.49,"728,197",3.44,"306,677",1.55,"1,579,088",2.03,"179,735",1.17,"700,281",4.15,"285,349",1.69,"1,502,671",2.27,"375,195",2.88,"531,606",3.32,"92,736",0.62
其他綜合損益（淨額）,"-125,038",-0.9,"-125,038",-0.9,"-531,559",-2.92,"102,341",0.58,"2,334,447",3.33,"-362,929",-2.23,"-2,780,775",-13.12,"1,379,410",6.97,"4,827,293",6.21,"3,927,296",25.56,"-3,256,100",-19.28,"1,657,709",9.83,"-3,860,529",-5.82,"-8,936,360",-68.54,"-2,589,855",-16.16,"-2,522,247",-16.77
國外營運機構財務報表換算之兌換差額,"1,220,801",8.76,"1,220,801",8.76,"914,604",5.03,"-418,413",-2.38,"2,532,355",3.61,"719,397",4.43,"-994,881",-4.69,"904,955",4.57,"2,980,569",3.84,"-862,180",-5.61,"-494,006",-2.92,"1,217,257",7.22,"-1,184,681",-1.79,"-707,947",-5.43,"-1,076,459",-6.72,"-1,709,513",-11.37
基本每股盈餘,0.40,,0.40,,0.83,,0.34,,2.21,,0.47,,1.21,,0.64,,2.98,,0.47,,0.94,,0.02,,1.55,,0.06,,0.38,,0.30,
已實現銷貨（損）益,37,0.0,37,0.0,0,0.0,0,0.0,,,0,0.0,0,0.0,,,,,,,441,0.0,,,,,201,0.0,449,0.0,30,0.0
所得稅費用（利益）合計,"218,286",1.57,"218,286",1.57,"259,500",1.43,"333,938",1.9,"1,825,950",2.6,"330,848",2.04,"686,386",3.24,"357,809",1.81,"2,813,741",3.62,"302,412",1.97,"247,545",1.47,"132,576",0.79,"1,879,675",2.84,"88,091",0.68,"326,198",2.04,"208,343",1.39
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,,,,,,,,,,,,,,,,,,,30,0.0,-17,0.0,0,0.0,"-285,305",-0.43,0,0.0,0,0.0,0,0.0
採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,"82,876",0.59,"82,876",0.59,"-46,237",-0.25,"11,523",0.07,"573,480",0.82,"-340,082",-2.09,"-935,581",-4.41,"683,983",3.46,"527,962",0.68,,,,,,,,,,,,,,
採用權益法認列之關聯企業及合資損益之份額淨額,"1,025,067",7.36,"1,025,067",7.36,"800,492",4.4,"611,715",3.47,"3,208,725",4.57,"1,042,631",6.41,"1,476,399",6.97,"1,089,616",5.51,"4,350,273",5.6,"960,033",6.25,"1,079,034",6.39,"378,902",2.25,"2,986,137",4.5,"-55,695",-0.43,"333,391",2.08,"374,679",2.49
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,,,,,,,,,,,,,,,,,,,"45,564",0.3,"-790,428",-4.68,"1,113,981",6.61,"-722,900",-1.09,"-1,224,918",-9.39,"-497,026",-3.1,"-840,127",-5.59
