,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,-17430.0,-3.27,-21174.0,-4.54,6656.0,1.25,-11766.0,-0.57,-26350.0,-4.73,-22805.0,-4.44,-6416.0,-1.2,-61149.0,-2.85,-3288.0,-0.58,12629.0,2.54,-13800.0,-2.62,-7980.0,-0.37,-27959.0,-5.01,364.0,0.07,-21212.0,-4.1,-11965.0,-0.56
其他利益及損失淨額,2049.0,0.38,672.0,0.14,-421.0,-0.08,-2347.0,-0.11,3586.0,0.64,-1688.0,-0.33,-121.0,-0.02,7740.0,0.36,-842.0,-0.15,-2103.0,-0.42,5534.0,1.05,38302.0,1.8,-1763.0,-0.32,177.0,0.03,-7695.0,-1.49,-6950.0,-0.33
其他收入,2100.0,0.39,12844.0,2.75,9066.0,1.7,41566.0,2.0,8198.0,1.47,9551.0,1.86,4811.0,0.9,31178.0,1.45,2765.0,0.49,10293.0,2.07,9450.0,1.79,23896.0,1.12,5141.0,0.92,6064.0,1.17,9596.0,1.85,26551.0,1.24
其他綜合損益（淨額）,-17175.0,-3.22,-21345.0,-4.57,6147.0,1.16,-25541.0,-1.23,-26012.0,-4.67,-22827.0,-4.44,-6411.0,-1.2,-43735.0,-2.04,-4526.0,-0.8,12796.0,2.57,-14682.0,-2.79,-6179.0,-0.29,-27300.0,-4.89,-67.0,-0.01,-21930.0,-4.24,-17603.0,-0.82
國外營運機構財務報表換算之兌換差額,255.0,0.05,-171.0,-0.04,-509.0,-0.1,-393.0,-0.02,338.0,0.06,-22.0,0.0,5.0,0.0,1222.0,0.06,-1238.0,-0.22,167.0,0.03,-961.0,-0.18,-1796.0,-0.08,695.0,0.12,-233.0,-0.05,-516.0,-0.1,-510.0,-0.02
基本每股盈餘,0.76,,0.56,,0.71,,2.55,,0.92,,0.54,,0.55,,2.54,,0.66,,0.37,,0.48,,2.31,,0.55,,0.47,,0.34,,1.87,
所得稅費用（利益）合計,14301.0,2.68,10293.0,2.21,12489.0,2.35,47115.0,2.27,15704.0,2.82,10198.0,1.98,10337.0,1.93,46806.0,2.18,12673.0,2.24,6848.0,1.38,8738.0,1.66,36540.0,1.71,10480.0,1.88,9147.0,1.77,6611.0,1.28,34606.0,1.62
推銷費用,199342.0,37.42,196357.0,42.08,207954.0,39.1,814124.0,39.21,210253.0,37.77,203405.0,39.58,214068.0,40.02,834398.0,38.83,213693.0,37.76,205668.0,41.3,216646.0,41.1,840631.0,39.42,210996.0,37.79,202641.0,39.25,208662.0,40.3,825444.0,38.67
本期淨利（淨損）,68672.0,12.89,50950.0,10.92,64045.0,12.04,230577.0,11.11,84577.0,15.19,49700.0,9.67,50244.0,9.39,231846.0,10.79,60119.0,10.62,33018.0,6.63,43827.0,8.31,209277.0,9.81,50633.0,9.07,42716.0,8.27,31039.0,6.0,169860.0,7.96
本期綜合損益總額,51497.0,9.67,29605.0,6.34,70192.0,13.2,205036.0,9.88,58565.0,10.52,26873.0,5.23,43833.0,8.19,188111.0,8.75,55593.0,9.82,45814.0,9.2,29145.0,5.53,203098.0,9.52,23333.0,4.18,42649.0,8.26,9109.0,1.76,152257.0,7.13
母公司業主（淨利／損）,68521.0,12.86,50644.0,10.85,63599.0,11.96,230963.0,11.12,83060.0,14.92,49231.0,9.58,49924.0,9.33,229782.0,10.69,60104.0,10.62,33523.0,6.73,43145.0,8.18,209180.0,9.81,50194.0,8.99,42420.0,8.22,30888.0,5.97,168873.0,7.91
