,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,15128.0,20698.0,30475.0,40444.0,8767.0,17147.0,32286.0,44554.0,,,,,,,,
其他應付款增加（減少）,-38605.0,-22113.0,-22798.0,27803.0,-69412.0,-47818.0,-49491.0,-4969.0,-61708.0,-43386.0,-36947.0,-13257.0,-60587.0,-37952.0,-37816.0,-10238.0
其他應收款（增加）減少,155.0,299.0,-5075.0,522.0,-436.0,,,-1290.0,979.0,-6193.0,-1396.0,1409.0,-171.0,-448.0,-3374.0,-6528.0
其他流動負債增加（減少）,2346.0,2871.0,245.0,1043.0,,-1002.0,-1621.0,-1770.0,,,3937.0,212.0,2059.0,2003.0,2285.0,2638.0
其他流動資產（增加）減少,-224.0,-25.0,-989.0,-649.0,72.0,-1946.0,-786.0,293.0,-2110.0,-2756.0,-622.0,612.0,-391.0,-401.0,-928.0,-545.0
其他非流動資產增加,,,,,,,,,,,,,,-8500.0,-12234.0,-22462.0
其他項目,,,,-4473.0,-6519.0,-6519.0,-6519.0,-6519.0,0.0,0.0,0.0,0.0,,,,
利息收入,-59.0,-212.0,-244.0,-413.0,-46.0,-267.0,-357.0,-547.0,-69.0,-184.0,-210.0,-262.0,-20.0,-168.0,-188.0,-337.0
利息費用,144.0,0.0,314.0,491.0,73.0,73.0,311.0,605.0,198.0,222.0,511.0,818.0,271.0,350.0,548.0,846.0
匯率變動對現金及約當現金之影響,246.0,85.0,-405.0,-375.0,317.0,297.0,303.0,1223.0,-1096.0,-864.0,-1670.0,-1485.0,584.0,393.0,-40.0,-424.0
取得不動產、廠房及設備,-7740.0,-13624.0,-20845.0,-49954.0,-29001.0,-35232.0,-40061.0,-52480.0,-10289.0,-42486.0,-88709.0,-92461.0,-38502.0,-45905.0,-53504.0,-71285.0
存入保證金增加,,,0.0,0.0,,,,412.0,534.0,534.0,534.0,388.0,1029.0,1351.0,1423.0,1423.0
存出保證金增加,,-858.0,-1033.0,-2610.0,-262.0,-701.0,-881.0,-881.0,-1925.0,-2272.0,-4993.0,-5252.0,-160.0,-557.0,-1261.0,-1617.0
存貨（增加）減少,27245.0,21634.0,17924.0,-2575.0,26941.0,-498.0,-21741.0,-33675.0,26045.0,25292.0,2067.0,3343.0,23323.0,27662.0,22294.0,-8142.0
應付帳款增加（減少）,-33.0,-875.0,5592.0,-4433.0,-8104.0,2210.0,14061.0,-8841.0,3611.0,2352.0,16885.0,6767.0,4519.0,7789.0,14259.0,11511.0
應付票據增加（減少）,-25095.0,-29537.0,-11851.0,-6023.0,-24622.0,-3935.0,-26022.0,-2138.0,-24777.0,-2098.0,-4719.0,-10397.0,-13693.0,-16433.0,-2753.0,5185.0
應收帳款（增加）減少,15292.0,41248.0,37583.0,9620.0,43306.0,24504.0,43265.0,-5609.0,18092.0,41554.0,39013.0,33539.0,5404.0,9959.0,28547.0,-18564.0
應收票據（增加）減少,-756.0,402.0,129.0,5810.0,-6580.0,-101.0,16.0,245.0,-427.0,1045.0,-232.0,580.0,-1830.0,-610.0,-648.0,-48.0
應計退休金負債增加（減少）,202.0,-342.0,-321.0,-210.0,303.0,570.0,570.0,-1350.0,,,,,,,,
投資活動之淨現金流入（流出）,-7802.0,-10529.0,-12273.0,-28594.0,-37117.0,-48020.0,-42628.0,-41823.0,-12044.0,-34732.0,-86402.0,-58046.0,-27080.0,-9869.0,-15826.0,-58339.0
折舊費用,14410.0,28665.0,42484.0,57099.0,15093.0,30516.0,45727.0,60699.0,14423.0,28833.0,44339.0,59984.0,15922.0,32453.0,48839.0,65250.0
攤銷費用,109.0,220.0,305.0,629.0,487.0,1055.0,1620.0,2184.0,565.0,1130.0,1694.0,2267.0,635.0,1273.0,1946.0,2652.0
支付之利息,-144.0,0.0,-314.0,-453.0,-133.0,-133.0,-270.0,-665.0,-148.0,-222.0,-394.0,-818.0,-216.0,-350.0,-548.0,-846.0
收取之利息,59.0,212.0,244.0,413.0,46.0,267.0,357.0,547.0,69.0,184.0,210.0,262.0,20.0,168.0,188.0,337.0
收益費損項目合計,,,,,,,,,15097.0,21243.0,34865.0,17127.0,17872.0,30618.0,44653.0,62355.0
期初現金及約當現金餘額,192677.0,192677.0,192677.0,182717.0,219363.0,219363.0,219363.0,219363.0,202105.0,202105.0,202105.0,202105.0,213357.0,213357.0,213357.0,213357.0
期末現金及約當現金餘額,214086.0,287547.0,160480.0,219363.0,224598.0,280285.0,193378.0,202105.0,210408.0,244900.0,151301.0,213357.0,226940.0,244660.0,215381.0,197854.0
本期現金及約當現金增加（減少）數,21409.0,94870.0,-32197.0,36646.0,5235.0,60922.0,-25985.0,-17258.0,8303.0,42795.0,-50804.0,11252.0,13583.0,31303.0,2024.0,-15503.0
本期稅前淨利（淨損）,82973.0,144216.0,220750.0,277692.0,100281.0,160179.0,220760.0,278652.0,72792.0,112658.0,165223.0,245817.0,61113.0,112976.0,150626.0,204466.0
淨確定福利負債增加(減少),,,,,,,,,625.0,1046.0,1469.0,1873.0,481.0,910.0,1339.0,-4185.0
營業活動之淨現金流入（流出）,78965.0,156754.0,200506.0,291166.0,82035.0,144463.0,159907.0,215855.0,35909.0,115247.0,179478.0,235993.0,59050.0,120822.0,178045.0,203415.0
營運產生之現金流入（流出）,79288.0,179654.0,247304.0,338169.0,83002.0,166564.0,204645.0,261595.0,36198.0,136548.0,222609.0,279740.0,59276.0,134608.0,209546.0,235341.0
發放現金股利,,-1440.0,-210025.0,-210025.0,,-1364.0,-209726.0,-209726.0,,-1244.0,-191487.0,-191487.0,,-394.0,-181578.0,-181578.0
短期借款增加,-50000.0,-50000.0,0.0,20000.0,-40000.0,-40000.0,55000.0,55000.0,15000.0,24000.0,174000.0,224000.0,50000.0,50000.0,201000.0,291000.0
籌資活動之淨現金流入（流出）,-50000.0,-51440.0,-220025.0,-225551.0,-40000.0,-35818.0,-143567.0,-192513.0,-14466.0,-36856.0,-142210.0,-165210.0,-18971.0,-80043.0,-160155.0,-160155.0
繼續營業單位稅前淨利（淨損）,82973.0,144216.0,220750.0,277692.0,100281.0,160179.0,220760.0,278652.0,72792.0,112658.0,165223.0,245817.0,61113.0,112976.0,150626.0,204466.0
