,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,25598.0,-61721.0,-66078.0,37726.0,-26194.0,-2121.0,7018.0,52935.0,,,,,,,,
停業單位稅前淨利（淨損）,,,,,,,,,0.0,,,,,,,
償還公司債,,,,-410000.0,,,-320000.0,-320000.0,,,0.0,0.0,,,,
償還長期借款,-4712.0,-9482.0,-18038.0,-25552.0,-7904.0,-15839.0,-22130.0,-28545.0,-5359.0,-9637.0,-27535.0,-29051.0,-1559.0,-3123.0,-4691.0,-5707.0
其他應付款增加（減少）,292534.0,138338.0,-140257.0,210801.0,-111966.0,105238.0,-208563.0,-231868.0,-54935.0,293738.0,336753.0,370334.0,152440.0,139025.0,592378.0,888953.0
其他應付款－關係人增加,,,,,,,,,,,,122700.0,255571.0,254250.0,254250.0,259561.0
其他應付款－關係人增加（減少）,-315.0,-126.0,445.0,389.0,-11.0,-22.0,141.0,5266.0,-5808.0,-5935.0,-1029.0,-4109.0,4051.0,3101.0,5989.0,18347.0
其他應收款（增加）減少,-151241.0,-217570.0,-84976.0,-356398.0,126457.0,77316.0,13320.0,273687.0,-324918.0,-406545.0,-662866.0,-248413.0,-380680.0,-614364.0,-716561.0,-925707.0
其他應收款－關係人（增加）減少,-914.0,1750.0,264.0,-7359.0,-302.0,3395.0,-751.0,-8138.0,-7994.0,-7826.0,4229.0,1746.0,9518.0,5720.0,939.0,-3535.0
其他流動負債增加（減少）,38553.0,93662.0,66904.0,44691.0,69451.0,59373.0,20575.0,101994.0,20487.0,-2278.0,-59247.0,44301.0,14217.0,-1695.0,1696.0,115028.0
其他流動資產（增加）減少,10999.0,-5095.0,-24343.0,19213.0,3225.0,56556.0,19024.0,50645.0,-52404.0,8856.0,-26971.0,-41227.0,-26227.0,-10037.0,-16900.0,11628.0
其他營業負債增加（減少）,1832.0,1461.0,998.0,-1011.0,-253.0,-505.0,-673.0,-672.0,0.0,0.0,0.0,0.0,23234.0,21864.0,20493.0,19125.0
其他營業資產（增加）減少,6095.0,-7664.0,-7061.0,5974.0,-6392.0,-4770.0,-453.0,5042.0,7773.0,14182.0,16620.0,19426.0,-111.0,4245.0,5529.0,6663.0
其他符合國際會計準則第七號現金及約當現金定義之項目,,,,,,,,,,,19393.0,,,,0.0,0.0
其他籌資活動,,4900.0,39550.0,656401.0,0.0,0.0,0.0,0.0,146839.0,146839.0,146839.0,146839.0,0.0,0.0,0.0,113936.0
其他金融資產增加,,-100629.0,-128655.0,-136510.0,0.0,-159838.0,0.0,-241851.0,,-8973.0,,0.0,-154585.0,-206034.0,-194413.0,-233846.0
其他金融資產減少,,,,0.0,37462.0,,83490.0,,296657.0,,247739.0,232723.0,0.0,,0.0,0.0
其他金融資產（增加）減少,-44976.0,,,,,,,,,,,,,,,
其他非流動資產增加,-4271.0,-6631.0,-6265.0,-16073.0,-546.0,-8360.0,-8426.0,-11661.0,-637.0,-938.0,-1525.0,-5016.0,-183.0,-6176.0,-7974.0,-7430.0
其他非流動資產減少,0.0,321.0,511.0,563.0,677.0,2727.0,1759.0,8253.0,5297.0,5454.0,4666.0,420.0,4282.0,4246.0,4246.0,4479.0
其他項目,,,,,,-7900.0,-7900.0,,,0.0,,,,-1395.0,-1395.0,-1642.0
利息收入,-2371.0,-6028.0,-8583.0,-12194.0,-3468.0,-7081.0,-8911.0,-15567.0,-11585.0,-23707.0,-33409.0,-46379.0,-9026.0,-19304.0,-28317.0,-38129.0
利息費用,9219.0,19421.0,30062.0,41438.0,8621.0,16487.0,23630.0,31838.0,8429.0,17069.0,26326.0,35417.0,8481.0,19774.0,29286.0,39135.0
匯率變動對現金及約當現金之影響,-2586.0,-9891.0,1940.0,10983.0,-1039.0,-8038.0,1372.0,19792.0,-12920.0,-24491.0,11548.0,-11547.0,-19296.0,16407.0,-75442.0,-88150.0
取得不動產、廠房及設備,-13116.0,-45688.0,-59176.0,-88062.0,-4571.0,-21606.0,-16145.0,-29641.0,-13046.0,-17615.0,-19657.0,-24965.0,-7112.0,-13209.0,-27310.0,-29781.0
取得以成本衡量之金融資產,,,,,,,,-136742.0,,,,0.0,,,,
取得備供出售金融資產,,,,,,,,,,,,,,-45000.0,-45000.0,-45000.0
取得子公司股權,,0.0,0.0,0.0,,,,,,,-17429.0,-17429.0,-46066.0,-52366.0,-52366.0,-52366.0
取得投資性不動產,,,0.0,0.0,,,,,,-3078.0,-9061.0,-9179.0,,0.0,0.0,0.0
取得採用權益法之投資,,-574977.0,-612177.0,-651851.0,,0.0,-78945.0,-78945.0,,-76363.0,-76363.0,-223363.0,,-7204.0,-14258.0,-19122.0
取得無形資產,,,-143.0,-1176.0,,-39.0,-190.0,-512.0,-140.0,-147.0,-1147.0,-3452.0,0.0,-550.0,-1318.0,-1323.0
取得無活絡市場之債券投資,,0.0,-120000.0,-120000.0,-180000.0,-210200.0,-210200.0,-384465.0,,,,,,,,
取得無活絡市場之債務工具投資,,,,,,,,,-39263.0,-414502.0,-783735.0,-1128444.0,-287976.0,-714042.0,-904602.0,-1088505.0
呆帳費用提列（轉列收入）數,2705.0,-2834.0,-3629.0,14325.0,2714.0,5877.0,8656.0,30979.0,6446.0,5009.0,16564.0,16049.0,1153.0,2177.0,6741.0,9689.0
存入保證金增加,500.0,500.0,400.0,400.0,0.0,0.0,0.0,0.0,,79.0,83.0,79.0,,0.0,0.0,0.0
存入保證金減少,,,,,,,-9500.0,-9397.0,,,0.0,0.0,-3.0,-7.0,-13.0,-15.0
