,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不動產、廠房及設備轉列費用數,,,,,,,,81.0,971.0,971.0,971.0,1482.0,35.0,336.0,1536.0,1536.0
不影響現金流量之收益費損項目合計,18909.0,42739.0,67503.0,90346.0,26095.0,52667.0,78246.0,107979.0,,,,,,,,
償還長期借款,-212500.0,-475000.0,-537500.0,-550000.0,-462500.0,-325000.0,-1175000.0,-1225000.0,-740000.0,-740000.0,-960000.0,-1220000.0,-50000.0,-50000.0,-120000.0,-220000.0
其他應付款增加（減少）,-33107.0,-26329.0,-27696.0,-29978.0,-3980.0,-5738.0,-736.0,-3792.0,-2106.0,973.0,8188.0,30074.0,-10171.0,-7134.0,-8897.0,-3445.0
其他應收款增加,,,,,,,,,,,,,,,-6193.0,
其他應收款（增加）減少,96.0,-5348.0,-1707.0,-581.0,-4150.0,-367.0,-6377.0,398.0,-5173.0,-1276.0,-5836.0,-613.0,-3045.0,-1180.0,-3681.0,-1626.0
其他流動負債增加（減少）,-985.0,49392.0,2604.0,4203.0,-10856.0,-4061.0,-3767.0,-7842.0,1008.0,181.0,-1549.0,727.0,2147.0,-1260.0,-693.0,-356.0
其他流動資產（增加）減少,,,,,,,,,,,,,2.0,,,
其他營業負債增加（減少）,-3302.0,-6801.0,-10296.0,-14876.0,-3892.0,-7766.0,-11762.0,-15914.0,-2200.0,-1302.0,-2948.0,-5849.0,0.0,0.0,0.0,0.0
其他營業資產（增加）減少,,,,,,,,,,,,-3514.0,-1164.0,-2386.0,-3685.0,-4993.0
其他非流動資產增加,-326.0,-1472.0,-1437.0,-18.0,,,,,,-998.0,-3023.0,,,0.0,0.0,-860.0
其他非流動資產減少,,,,,892.0,894.0,892.0,889.0,0.0,,,,,,,
利息收入,-2703.0,-106.0,-110.0,-399.0,-3.0,-287.0,-303.0,-582.0,-116.0,-169.0,-295.0,-404.0,-32.0,-90.0,-105.0,-145.0
利息費用,3058.0,5917.0,9063.0,12319.0,3212.0,6487.0,10066.0,14022.0,3136.0,4767.0,6438.0,8373.0,1688.0,3177.0,4868.0,6564.0
匯率變動對現金及約當現金之影響,245.0,276.0,120.0,617.0,803.0,42.0,204.0,713.0,-141.0,-340.0,702.0,685.0,-221.0,-208.0,-653.0,-227.0
取得不動產、廠房及設備,-27486.0,-38370.0,-78494.0,-110044.0,-41091.0,-70578.0,-108682.0,-144128.0,-23092.0,-47848.0,-71655.0,-127716.0,-36016.0,-67115.0,-87950.0,-114562.0
取得以成本衡量之金融資產,,,,-9838.0,,,-15000.0,-15000.0,,,-15000.0,-15594.0,,,0.0,0.0
取得無形資產,,,,,,-2140.0,-2461.0,-2461.0,,-350.0,-845.0,-1562.0,,0.0,-165.0,-294.0
呆帳費用提列（轉列收入）數,0.0,-2325.0,-2325.0,-2325.0,,0.0,0.0,0.0,,,,,,,,0.0
存出保證金增加,,,,,,,,,,,,-704.0,,,,
存貨（增加）減少,-21338.0,-12010.0,-22426.0,26743.0,-51724.0,-74474.0,-130034.0,-98078.0,-6966.0,19884.0,-20053.0,7674.0,-31783.0,-18708.0,54204.0,28893.0
應付帳款增加（減少）,728.0,-30330.0,-26222.0,-28115.0,26097.0,11355.0,19718.0,29626.0,26049.0,-19068.0,-24288.0,-26072.0,19170.0,-1042.0,-16064.0,8338.0
應付短期票券增加,,-20057.0,-20000.0,,20062.0,19982.0,89822.0,119879.0,29901.0,15.0,-58.0,71.0,-20134.0,30025.0,29939.0,-19968.0
應付短期票券減少,-20047.0,,,-20048.0,,,,,,,,,,,,
應付票據增加（減少）,,,1668.0,315.0,-315.0,1395.0,2024.0,578.0,-893.0,817.0,142.0,-533.0,-360.0,-360.0,665.0,-15.0
應收帳款（增加）減少,5283.0,11015.0,56670.0,27701.0,8456.0,58861.0,13913.0,1610.0,-82980.0,-43277.0,-21587.0,-124633.0,80374.0,98588.0,28888.0,65487.0
應收帳款－關係人（增加）減少,-2734.0,2298.0,2691.0,3777.0,-2961.0,-3699.0,-4069.0,-10338.0,10750.0,11619.0,10011.0,10068.0,-12826.0,-13587.0,-4047.0,-10228.0
應收票據（增加）減少,-283.0,-884.0,-1099.0,1448.0,-1661.0,-2497.0,-2316.0,-71.0,170.0,831.0,571.0,391.0,-19.0,-1371.0,-2371.0,433.0
投資活動之淨現金流入（流出）,-27812.0,-39842.0,-79931.0,-119900.0,-40199.0,-71824.0,-125251.0,-160700.0,656158.0,630054.0,588727.0,533674.0,-35721.0,-66820.0,-111221.0,-131486.0
折舊費用,18554.0,39253.0,60875.0,83265.0,22886.0,46102.0,69843.0,95484.0,25854.0,50903.0,75879.0,101115.0,25667.0,52929.0,81924.0,113426.0
攤銷費用,,,,,,365.0,674.0,1008.0,334.0,757.0,1167.0,1717.0,615.0,899.0,1152.0,1285.0
支付之利息,-3066.0,-6125.0,-9112.0,-12254.0,-3459.0,-6691.0,-10047.0,-14285.0,-3447.0,-4981.0,-6718.0,-8690.0,-1766.0,-3303.0,-4889.0,-6541.0
收取之利息,,106.0,110.0,399.0,3.0,287.0,303.0,582.0,116.0,169.0,295.0,404.0,32.0,90.0,96.0,130.0
收取之股利,,,,2514.0,,,2514.0,2514.0,,,3017.0,3017.0,,,3017.0,3017.0
收益費損項目合計,,,,,,,,,-196547.0,-169497.0,-145583.0,-116505.0,28333.0,57611.0,86718.0,119399.0
