,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
其他利益及損失淨額,4299.0,0.87,4466.0,0.88,2721.0,0.55,20224.0,1.0,11278.0,1.94,-2859.0,-0.49,2090.0,0.38,25569.0,1.13,750.0,0.15,1627.0,0.3,5285.0,1.26,13987.0,0.69,4530.0,0.89,4311.0,0.82,3243.0,0.75,20062.0,1.01
其他收入,655.0,0.13,739.0,0.14,820.0,0.17,3639.0,0.18,835.0,0.14,1230.0,0.21,1122.0,0.2,4513.0,0.2,997.0,0.19,1433.0,0.26,1116.0,0.27,4614.0,0.23,764.0,0.15,652.0,0.12,554.0,0.13,2984.0,0.15
其他綜合損益（淨額）,-7452.0,-1.52,12537.0,2.46,18714.0,3.79,55670.0,2.76,21887.0,3.77,-6941.0,-1.19,-12532.0,-2.26,9589.0,0.42,-53697.0,-10.39,27047.0,4.91,-3737.0,-0.89,-10735.0,-0.53,-38474.0,-7.57,-48481.0,-9.21,-54904.0,-12.78,-162261.0,-8.15
國外營運機構財務報表換算之兌換差額,-7452.0,-1.52,12537.0,2.46,18714.0,3.79,50318.0,2.49,21887.0,3.77,-6941.0,-1.19,-12532.0,-2.26,11763.0,0.52,-53697.0,-10.39,27047.0,4.91,-3737.0,-0.89,-8848.0,-0.44,-38474.0,-7.57,-48481.0,-9.21,-54904.0,-12.78,-158425.0,-7.96
基本每股盈餘,0.5,,0.45,,0.15,,1.6,,0.68,,0.63,,0.57,,2.14,,0.69,,0.58,,0.2,,2.02,,0.56,,0.4,,0.32,,1.47,
所得稅費用（利益）合計,11688.0,2.38,28248.0,5.54,11333.0,2.29,57328.0,2.84,19607.0,3.37,24523.0,4.19,16757.0,3.02,53867.0,2.38,10603.0,2.05,28435.0,5.16,1823.0,0.44,50699.0,2.51,12929.0,2.54,19260.0,3.66,2622.0,0.61,39443.0,1.98
採用權益法認列之關聯企業及合資損益之份額淨額,,,,,,,,,,,,,,,,,,,,,,,,,922.0,0.18,-409.0,-0.08,1881.0,0.44,-12349.0,-0.62
推銷費用,69209.0,14.09,70995.0,13.91,69263.0,14.01,304597.0,15.1,60778.0,10.46,60431.0,10.34,103577.0,18.67,258697.0,11.43,57715.0,11.16,63118.0,11.46,57562.0,13.77,246861.0,12.25,60703.0,11.94,67939.0,12.91,65481.0,15.24,259953.0,13.06
本期淨利（淨損）,44398.0,9.04,40460.0,7.93,15086.0,3.05,146229.0,7.25,60610.0,10.43,56250.0,9.62,51340.0,9.25,198106.0,8.75,63147.0,12.21,49747.0,9.03,14049.0,3.36,173933.0,8.63,47033.0,9.25,33766.0,6.42,26264.0,6.11,122687.0,6.16
本期綜合損益總額,36946.0,7.52,52997.0,10.39,33800.0,6.84,201899.0,10.01,82497.0,14.19,49309.0,8.43,38808.0,6.99,207695.0,9.18,9450.0,1.83,76794.0,13.94,10312.0,2.47,163198.0,8.1,8559.0,1.68,-14715.0,-2.8,-28640.0,-6.67,-39574.0,-1.99
母公司業主（淨利／損）,41413.0,8.43,37108.0,7.27,12735.0,2.58,133466.0,6.62,56734.0,9.76,52545.0,8.99,47642.0,8.59,178414.0,7.88,57470.0,11.12,48763.0,8.85,16379.0,3.92,168745.0,8.37,47098.0,9.26,33223.0,6.31,26355.0,6.13,122504.0,6.16
母公司業主（綜合損益）,41569.0,8.46,46991.0,9.21,22563.0,4.56,178365.0,8.84,72469.0,12.47,45198.0,7.73,41131.0,7.41,188415.0,8.32,18176.0,3.52,65093.0,11.81,3336.0,0.8,148357.0,7.36,8038.0,1.58,-15258.0,-2.9,-28536.0,-6.64,-42062.0,-2.11
營業利益（損失）,51995.0,10.58,64006.0,12.54,23381.0,4.73,182365.0,9.04,68878.0,11.85,83209.0,14.23,65654.0,11.83,224795.0,9.93,72511.0,14.03,75701.0,13.74,10543.0,2.52,209753.0,10.4,55507.0,10.91,50257.0,9.55,24898.0,5.79,159299.0,8.0
營業外收入及支出合計,4091.0,0.83,4702.0,0.92,3038.0,0.61,21192.0,1.05,11339.0,1.95,-2436.0,-0.42,2443.0,0.44,27178.0,1.2,1239.0,0.24,2481.0,0.45,5329.0,1.27,14879.0,0.74,4455.0,0.88,2769.0,0.53,3988.0,0.93,2831.0,0.14
營業成本合計,299218.0,60.9,281754.0,55.21,295524.0,59.78,1165974.0,57.81,316883.0,54.52,318540.0,54.49,286551.0,51.65,1216822.0,53.76,281619.0,54.48,310509.0,56.36,232617.0,55.64,1114729.0,55.3,280693.0,55.19,285659.0,54.28,237518.0,55.27,1112094.0,55.88
營業收入合計,491346.0,100.0,510292.0,100.0,494330.0,100.0,2016971.0,100.0,581195.0,100.0,584602.0,100.0,554834.0,100.0,2263357.0,100.0,516963.0,100.0,550937.0,100.0,418107.0,100.0,2015894.0,100.0,508572.0,100.0,526243.0,100.0,429703.0,100.0,1990275.0,100.0
營業毛利（毛損）,192128.0,39.1,228538.0,44.79,198806.0,40.22,850997.0,42.19,264312.0,45.48,266062.0,45.51,268283.0,48.35,1046535.0,46.24,235344.0,45.52,240428.0,43.64,185490.0,44.36,901165.0,44.7,227879.0,44.81,240584.0,45.72,192185.0,44.73,878181.0,44.12
營業毛利（毛損）淨額,192128.0,39.1,228538.0,44.79,198806.0,40.22,850997.0,42.19,264312.0,45.48,266062.0,45.51,268283.0,48.35,1046535.0,46.24,235344.0,45.52,240428.0,43.64,185490.0,44.36,901165.0,44.7,227879.0,44.81,240584.0,45.72,192185.0,44.73,878181.0,44.12
營業費用合計,140133.0,28.52,164532.0,32.24,175425.0,35.49,668632.0,33.15,195434.0,33.63,182853.0,31.28,202629.0,36.52,821740.0,36.31,162833.0,31.5,164727.0,29.9,174947.0,41.84,691412.0,34.3,172372.0,33.89,190327.0,36.17,167287.0,38.93,718882.0,36.12
研究發展費用,16723.0,3.4,18884.0,3.7,19728.0,3.99,79883.0,3.96,16267.0,2.8,26556.0,4.54,23915.0,4.31,88557.0,3.91,21035.0,4.07,22189.0,4.03,24864.0,5.95,94504.0,4.69,22428.0,4.41,25476.0,4.84,25990.0,6.05,102931.0,5.17
確定福利計畫之再衡量數,,,,,,,,,,,,,,,,,,,,,,,-2273.0,-0.11,,,,,,,-4621.0,-0.23
確定福利計畫精算利益（損失）,,,,,,,5943.0,0.29,,,,,,,-2620.0,-0.12,,,,,,,,,,,,,,,,
稀釋每股盈餘,0.49,,0.44,,0.15,,1.59,,0.68,,0.63,,0.57,,2.13,,0.69,,0.58,,0.2,,2.01,,0.56,,0.4,,0.32,,1.45,
稅前淨利（淨損）,56086.0,11.41,68708.0,13.46,26419.0,5.34,203557.0,10.09,80217.0,13.8,80773.0,13.82,68097.0,12.27,251973.0,11.13,73750.0,14.27,78182.0,14.19,15872.0,3.8,224632.0,11.14,59962.0,11.79,53026.0,10.08,28886.0,6.72,162130.0,8.15
管理費用,54201.0,11.03,74653.0,14.63,86434.0,17.49,284152.0,14.09,118389.0,20.37,95866.0,16.4,75137.0,13.54,474486.0,20.96,84083.0,16.26,79420.0,14.42,92521.0,22.13,350047.0,17.36,89241.0,17.55,96912.0,18.42,75816.0,17.64,355998.0,17.89
繼續營業單位本期淨利（淨損）,44398.0,9.04,40460.0,7.93,15086.0,3.05,146229.0,7.25,60610.0,10.43,56250.0,9.62,51340.0,9.25,198106.0,8.75,63147.0,12.21,49747.0,9.03,14049.0,3.36,173933.0,8.63,47033.0,9.25,33766.0,6.42,26264.0,6.11,122687.0,6.16
與不重分類之項目相關之所得稅,,,,,,,,,,,,,,,,,,,,,,,-386.0,-0.02,,,,,,,-785.0,-0.04
與其他綜合損益組成部分相關之所得稅,,,,,,,591.0,0.03,,,,,,,-446.0,-0.02,,,,,,,,,,,,,,,,
與可能重分類之項目相關之所得稅,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,
財務成本淨額,863.0,0.18,503.0,0.1,503.0,0.1,2671.0,0.13,774.0,0.13,807.0,0.14,769.0,0.14,2904.0,0.13,508.0,0.1,579.0,0.11,1072.0,0.26,3722.0,0.18,1761.0,0.35,1785.0,0.34,1690.0,0.39,7866.0,0.4
銷貨成本,,,281754.0,55.21,295524.0,59.78,1165974.0,57.81,,,,,,,1216822.0,53.76,281619.0,54.48,,,,,1114729.0,55.3,280693.0,55.19,,,,,1112094.0,55.88
銷貨收入淨額,,,510292.0,100.0,494330.0,100.0,2016971.0,100.0,,,,,,,2263357.0,100.0,516963.0,100.0,,,,,2015894.0,100.0,508572.0,100.0,,,,,1990275.0,100.0
非控制權益（淨利／損）,2985.0,0.61,3352.0,0.66,2351.0,0.48,12763.0,0.63,3876.0,0.67,3705.0,0.63,3698.0,0.67,19692.0,0.87,5677.0,1.1,984.0,0.18,-2330.0,-0.56,5188.0,0.26,-65.0,-0.01,543.0,0.1,-91.0,-0.02,183.0,0.01
非控制權益（綜合損益）,-4623.0,-0.94,6006.0,1.18,11237.0,2.27,23534.0,1.17,10028.0,1.73,4111.0,0.7,-2323.0,-0.42,19280.0,0.85,-8726.0,-1.69,11701.0,2.12,6976.0,1.67,14841.0,0.74,521.0,0.1,543.0,0.1,-104.0,-0.02,2488.0,0.13
