,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,2574457.0,31.16,2569003.0,31.72,2626081.0,31.65,2610606.0,33.48,2578892.0,32.14,2615920.0,29.11,2604765.0,29.96,2593573.0,33.36,2101869.0,27.13,2067838.0,25.56,2055829.0,24.95,1978574.0,25.5,1960476.0,24.46,1931622.0,23.35,1905313.0,23.9,1867941.0,23.7
保留盈餘合計,95614.0,1.16,112695.0,1.39,168892.0,2.04,-37018.0,-0.47,-13018.0,-0.16,-34441.0,-0.38,37815.0,0.43,20044.0,0.26,-9289.0,-0.12,-21919.0,-0.27,79568.0,0.97,74965.0,0.97,127938.0,1.6,205530.0,2.48,348875.0,4.38,149478.0,1.9
備供出售金融資產－非流動淨額,12680.0,0.15,9628.0,0.12,5771.0,0.07,2505.0,0.03,2354.0,0.03,1715.0,0.02,1245.0,0.01,1975.0,0.03,1721.0,0.02,1405.0,0.02,771.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
其他應付款,265828.0,3.22,331349.0,4.09,344599.0,4.15,217172.0,2.79,210056.0,2.62,274545.0,3.06,337658.0,3.88,307342.0,3.95,234649.0,3.03,261866.0,3.24,383119.0,4.65,292223.0,3.77,258573.0,3.23,323911.0,3.91,348800.0,4.38,503078.0,6.38
其他應收款淨額,43009.0,0.52,72284.0,0.89,60525.0,0.73,17568.0,0.23,22038.0,0.27,41906.0,0.47,32892.0,0.38,14417.0,0.19,22184.0,0.29,42655.0,0.53,34935.0,0.42,13664.0,0.18,16552.0,0.21,12415.0,0.15,12265.0,0.15,10017.0,0.13
其他權益合計,-15852.0,-0.19,-15273.0,-0.19,-22767.0,-0.27,-14151.0,-0.18,4699.0,0.06,2426.0,0.03,-2376.0,-0.03,-3353.0,-0.04,-10984.0,-0.14,-9812.0,-0.12,-22545.0,-0.27,-24131.0,-0.31,-21049.0,-0.26,-25271.0,-0.31,-31043.0,-0.39,-32070.0,-0.41
其他流動負債,511330.0,6.19,248024.0,3.06,340791.0,4.11,614919.0,7.89,701340.0,8.74,979376.0,10.9,957669.0,11.02,997327.0,12.83,1188552.0,15.34,691957.0,8.55,600143.0,7.28,360648.0,4.65,348124.0,4.34,325620.0,3.94,461105.0,5.78,616050.0,7.82
其他流動資產,,,,,73531.0,0.89,59581.0,0.76,52203.0,0.65,47352.0,0.53,25346.0,0.29,29494.0,0.38,27631.0,0.36,28951.0,0.36,17288.0,0.21,25215.0,0.32,156889.0,1.96,153356.0,1.85,239239.0,3.0,27312.0,0.35
其他非流動負債,278889.0,3.38,265014.0,3.27,268235.0,3.23,258657.0,3.32,253407.0,3.16,249051.0,2.77,245274.0,2.82,242522.0,3.12,267429.0,3.45,260083.0,3.21,252782.0,3.07,273945.0,3.53,75552.0,0.94,71063.0,0.86,68585.0,0.86,106601.0,1.35
其他非流動資產,153438.0,1.86,156102.0,1.93,160986.0,1.94,103650.0,1.33,158723.0,1.98,111494.0,1.24,109986.0,1.27,108152.0,1.39,103741.0,1.34,101363.0,1.25,97345.0,1.18,88074.0,1.14,86772.0,1.08,71485.0,0.86,66759.0,0.84,65884.0,0.84
