,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額,%
不重分類至損益之其他項目,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
停業單位損益合計,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
其他利益及損失淨額,3083.0,2.71,1106.0,2.02,4907.0,2.11,1440.0,2.36,-63.0,-0.09,1480.0,2.35,5180.0,2.11,-939.0,-1.68,463.0,0.62,-798.0,-1.19,-3227.0,-1.23,-848.0,-1.34,-1567.0,-1.94,112.0,0.13,297.0,0.09
其他收入,1507.0,1.32,1141.0,2.08,3750.0,1.61,1440.0,2.36,1720.0,2.55,1508.0,2.39,6162.0,2.51,1279.0,2.29,1047.0,1.41,1009.0,1.5,3951.0,1.51,535.0,0.84,819.0,1.02,1820.0,2.07,3870.0,1.15
其他營業收入淨額,3796.0,3.33,2745.0,5.01,6672.0,2.86,1392.0,2.28,525.0,0.78,3017.0,4.78,6021.0,2.45,432.0,0.78,496.0,0.67,296.0,0.44,886.0,0.34,639.0,1.01,11743.0,14.58,8977.0,10.19,26349.0,7.83
其他綜合損益（淨額）,145.0,0.13,-28.0,-0.05,333.0,0.14,33.0,0.05,-81.0,-0.12,82.0,0.13,-247.0,-0.1,-171.0,-0.31,-15.0,-0.02,160.0,0.24,-449.0,-0.17,-868.0,-1.37,-547.0,-0.68,-702.0,-0.8,-3085.0,-0.92
國外營運機構財務報表換算之兌換差額,145.0,0.13,-28.0,-0.05,431.0,0.19,33.0,0.05,-81.0,-0.12,82.0,0.13,140.0,0.06,-171.0,-0.31,-15.0,-0.02,160.0,0.24,-45.0,-0.02,-868.0,-1.37,-547.0,-0.68,-702.0,-0.8,-2841.0,-0.84
基本每股盈餘,0.0,,0.01,,0.04,,0.04,,-0.03,,-0.02,,-0.27,,-0.18,,-0.22,,-0.08,,-0.89,,-0.16,,-0.05,,-0.02,,-0.18,
已實現銷貨（損）益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
所得稅費用（利益）合計,467.0,0.41,107.0,0.2,831.0,0.36,342.0,0.56,-263.0,-0.39,-35.0,-0.06,144.0,0.06,218.0,0.39,214.0,0.29,137.0,0.2,896.0,0.34,173.0,0.27,48.0,0.06,11.0,0.01,288.0,0.09
指定按公允價值衡量之金融負債信用風險變動影響數,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
推銷費用,19931.0,17.5,8964.0,16.36,38772.0,16.64,11510.0,18.85,12202.0,18.11,10519.0,16.68,49170.0,20.01,11025.0,19.78,16203.0,21.86,10673.0,15.9,51383.0,19.65,11973.0,18.9,11081.0,13.75,11356.0,12.89,49535.0,14.73
未實現銷貨（損）益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
本期淨利（淨損）,152.0,0.13,601.0,1.1,2584.0,1.11,2464.0,4.04,-1858.0,-2.76,-1173.0,-1.86,-19041.0,-7.75,-12865.0,-23.08,-15672.0,-21.15,-6018.0,-8.97,-62959.0,-24.08,-11172.0,-17.64,-3208.0,-3.98,-1331.0,-1.51,-12247.0,-3.64
本期綜合損益總額,297.0,0.26,573.0,1.05,2917.0,1.25,2497.0,4.09,-1939.0,-2.88,-1091.0,-1.73,-19288.0,-7.85,-13036.0,-23.39,-15687.0,-21.17,-5858.0,-8.73,-63408.0,-24.25,-12040.0,-19.01,-3755.0,-4.66,-2033.0,-2.31,-15332.0,-4.56
權益工具投資之利益(損失),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
