,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,193978.0,0.19,-276964.0,-0.26,-1207234.0,-1.06,-233213.0,-0.06,-273363.0,-0.25,44972.0,0.04,-62561.0,-0.06,747656.0,0.18,-204005.0,-0.19,-1067151.0,-1.02,-253058.0,-0.23,-1284971.0,-0.31,-54304.0,-0.05,-599281.0,-0.57,313154.0,0.29,-244505.0,-0.06
其他利益及損失淨額,234736.0,0.22,816495.0,0.77,1022591.0,0.89,1410380.0,0.33,761074.0,0.7,-332562.0,-0.31,-981017.0,-0.87,-554224.0,-0.13,410471.0,0.39,-24557.0,-0.02,-993460.0,-0.9,-2147021.0,-0.52,-311439.0,-0.29,-535046.0,-0.51,1958952.0,1.82,1221784.0,0.3
其他收入,1021029.0,0.98,1578128.0,1.48,1597917.0,1.4,5660721.0,1.34,1190448.0,1.1,1288063.0,1.22,1058053.0,0.94,4973012.0,1.17,1161732.0,1.11,1943566.0,1.85,1402648.0,1.27,5725693.0,1.38,1229874.0,1.15,1993984.0,1.9,1306826.0,1.22,5579489.0,1.35
其他綜合損益（淨額）,1719752.0,1.64,451431.0,0.42,-1608328.0,-1.41,2865308.0,0.68,-631163.0,-0.58,-1212019.0,-1.15,1732198.0,1.54,2798736.0,0.66,-810146.0,-0.77,-2240247.0,-2.13,2259717.0,2.04,-4169052.0,-1.0,-410693.0,-0.39,-2866834.0,-2.73,-2154919.0,-2.01,-7487603.0,-1.81
國外營運機構財務報表換算之兌換差額,1525774.0,1.46,728395.0,0.68,-401094.0,-0.35,3163881.0,0.75,-450024.0,-0.41,-1233874.0,-1.17,1784499.0,1.58,2188766.0,0.51,-702395.0,-0.67,-1117531.0,-1.06,2615158.0,2.36,-2331830.0,-0.56,-463217.0,-0.43,-2147351.0,-2.05,-2516934.0,-2.34,-6237125.0,-1.51
基本每股盈餘,0.75,,0.59,,0.87,,2.48,,0.81,,0.6,,0.35,,2.04,,0.79,,0.81,,0.68,,2.48,,0.76,,0.84,,0.73,,2.56,
所得稅費用（利益）合計,1242344.0,1.19,1677596.0,1.57,1116610.0,0.98,4542199.0,1.07,1180835.0,1.09,1297671.0,1.23,1188371.0,1.05,4548633.0,1.07,1752853.0,1.67,1959784.0,1.87,1245176.0,1.13,5656195.0,1.36,1582061.0,1.48,1871021.0,1.78,2238389.0,2.08,6826906.0,1.65
推銷費用,22077547.0,21.1,23416959.0,21.98,24046769.0,21.03,90958402.0,21.5,22554852.0,20.76,22988401.0,21.72,25180421.0,22.32,91543431.0,21.53,22712282.0,21.64,23996935.0,22.85,25500300.0,23.04,94243220.0,22.65,23788692.0,22.3,23608290.0,22.52,25473413.0,23.71,94013752.0,22.74
本期淨利（淨損）,5739800.0,5.49,5108511.0,4.79,6519034.0,5.7,20739962.0,4.9,6536262.0,6.02,4868196.0,4.6,3541025.0,3.14,17713181.0,4.17,6616277.0,6.3,6919546.0,6.59,5821839.0,5.26,21593165.0,5.19,6398071.0,6.0,7178712.0,6.85,6250390.0,5.82,23675436.0,5.73
本期綜合損益總額,7459552.0,7.13,5559942.0,5.22,4910706.0,4.29,23605270.0,5.58,5905099.0,5.44,3656177.0,3.45,5273223.0,4.67,20511917.0,4.82,5806131.0,5.53,4679299.0,4.46,8081556.0,7.3,17424113.0,4.19,5987378.0,5.61,4311878.0,4.11,4095471.0,3.81,16187833.0,3.92
母公司業主（淨利／損）,3639790.0,3.48,2866080.0,2.69,4460268.0,3.9,12764241.0,3.02,4161367.0,3.83,3097006.0,2.93,1939233.0,1.72,11122830.0,2.62,4299459.0,4.1,4427878.0,4.22,3854960.0,3.48,14107839.0,3.39,4343069.0,4.07,4758723.0,4.54,4137691.0,3.85,14526719.0,3.51
母公司業主（綜合損益）,5063518.0,4.84,3335627.0,3.13,2976869.0,2.6,14601200.0,3.45,4039305.0,3.72,2061845.0,1.95,3311471.0,2.94,13563132.0,3.19,3641583.0,3.47,2940713.0,2.8,5961760.0,5.39,11866078.0,2.85,3880106.0,3.64,2817059.0,2.69,2320895.0,2.16,9490666.0,2.3
營業利益（損失）,5759096.0,5.5,4418954.0,4.15,4896890.0,4.28,18087585.0,4.28,5526844.0,5.09,5147656.0,4.86,4735844.0,4.2,17775203.0,4.18,6277894.0,5.98,6254269.0,5.96,6149587.0,5.56,21637732.0,5.2,6561057.0,6.15,6791558.0,6.48,4267398.0,3.97,21091066.0,5.1
營業外收入及支出合計,1223048.0,1.17,2367153.0,2.22,2738754.0,2.4,7194576.0,1.7,2190253.0,2.02,1018211.0,0.96,-6448.0,-0.01,4486611.0,1.06,2091236.0,1.99,2625061.0,2.5,917428.0,0.83,5611628.0,1.35,1419075.0,1.33,2258175.0,2.15,4221381.0,3.93,9411276.0,2.28
營業成本合計,71828145.0,68.65,73005784.0,68.52,79072813.0,69.15,292198739.0,69.07,74481789.0,68.56,71740730.0,67.79,77181440.0,68.41,293188184.0,68.96,70402856.0,67.09,69097118.0,65.79,73342044.0,66.27,278229027.0,66.86,70144952.0,65.76,68550432.0,65.38,71954606.0,66.98,275714218.0,66.7
