,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y,金額_x,%_x,金額_y,%_y
不動產、廠房及設備,126148.0,7.72,122605.0,8.8,120177.0,8.77,117673.0,8.57,1055173.0,43.51,1038277.0,47.95,1037827.0,48.94,919997.0,52.81,914688.0,53.79,904524.0,54.57,894842.0,52.82,884579.0,54.14,877343.0,54.37,874511.0,54.2,873688.0,53.97,866697.0,61.74
保留盈餘合計,-26704.0,-1.63,-33838.0,-2.43,-19317.0,-1.41,-47404.0,-3.45,-55045.0,-2.27,-31459.0,-1.45,-80753.0,-3.81,-373208.0,-21.42,-399741.0,-23.51,-51497.0,-3.11,-40485.0,-2.39,-97638.0,-5.98,-105648.0,-6.55,-8334.0,-0.52,-18475.0,-1.14,-235988.0,-16.81
備供出售金融資產未實現損益,0.0,0.0,-12133.0,-0.87,-26010.0,-1.9,-25180.0,-1.83,-20518.0,-0.85,-21089.0,-0.97,-25455.0,-1.2,-19108.0,-1.1,-17737.0,-1.04,-31145.0,-1.88,-25164.0,-1.49,-18605.0,-1.14,-17178.0,-1.06,-15525.0,-0.96,-12646.0,-0.78,-4562.0,-0.32
備供出售金融資產－流動淨額,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
備供出售金融資產－非流動淨額,42500.0,2.6,30367.0,2.18,16490.0,1.2,17320.0,1.26,21982.0,0.91,21411.0,0.99,17045.0,0.8,23392.0,1.34,24763.0,1.46,11355.0,0.69,17336.0,1.02,23895.0,1.46,25322.0,1.57,26975.0,1.67,29854.0,1.84,37938.0,2.7
其他應付款,283963.0,17.38,62666.0,4.5,26465.0,1.93,57936.0,4.22,174240.0,7.18,157326.0,7.27,153784.0,7.25,59574.0,3.42,46967.0,2.76,50640.0,3.05,53882.0,3.18,55810.0,3.42,47701.0,2.96,52762.0,3.27,62182.0,3.84,58069.0,4.14
其他應付款項－關係人,,,,,,,,,779765.0,32.15,601533.0,27.78,601533.0,28.36,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
其他應收款淨額,6058.0,0.37,7435.0,0.53,1798.0,0.13,1637.0,0.12,1854.0,0.08,1058.0,0.05,866.0,0.04,1300.0,0.07,949.0,0.06,1580.0,0.1,1007.0,0.06,15668.0,0.96,15777.0,0.98,15510.0,0.96,15491.0,0.96,15183.0,1.08
其他權益合計,-63.0,0.0,-11963.0,-0.86,-25984.0,-1.9,-24980.0,-1.82,-20348.0,-0.84,-21082.0,-0.97,-25238.0,-1.19,-18602.0,-1.07,-17315.0,-1.02,-30849.0,-1.86,-24516.0,-1.45,-18265.0,-1.12,-16868.0,-1.05,-15377.0,-0.95,-12691.0,-0.78,-4709.0,-0.34
其他流動負債,452244.0,27.67,453815.0,32.57,467302.0,34.11,463303.0,33.72,80942.0,3.34,74953.0,3.46,77383.0,3.65,35326.0,2.03,34385.0,2.02,27579.0,1.66,25613.0,1.51,24331.0,1.49,19060.0,1.18,17562.0,1.09,19110.0,1.18,18699.0,1.33
其他流動資產,623657.0,38.16,1018811.0,73.12,1016662.0,74.21,606012.0,44.11,76018.0,3.13,75243.0,3.47,19668.0,0.93,0.0,0.0,69300.0,4.08,142246.0,8.58,124652.0,7.36,190890.0,11.68,190891.0,11.83,155280.0,9.62,193444.0,11.95,126236.0,8.99
其他非流動負債,,,,,50.0,0.0,50.0,0.0,3485.0,0.14,2518.0,0.12,2601.0,0.12,513.0,0.03,513.0,0.03,513.0,0.03,513.0,0.03,513.0,0.03,513.0,0.03,58.0,0.0,59.0,0.0,58.0,0.0
其他非流動資產,10832.0,0.66,9020.0,0.65,9242.0,0.67,14312.0,1.04,72301.0,2.98,87706.0,4.05,79891.0,3.77,33627.0,1.93,33970.0,2.0,35637.0,2.15,34251.0,2.02,21807.0,1.33,17634.0,1.09,24081.0,1.49,23603.0,1.46,22255.0,1.59
國外營運機構財務報表換算之兌換差額,-63.0,0.0,170.0,0.01,26.0,0.0,200.0,0.01,170.0,0.01,7.0,0.0,217.0,0.01,506.0,0.03,422.0,0.02,296.0,0.02,648.0,0.04,340.0,0.02,310.0,0.02,148.0,0.01,-45.0,0.0,-147.0,-0.01
存貨,19232.0,1.18,18640.0,1.34,15196.0,1.11,16988.0,1.24,79192.0,3.27,75679.0,3.5,53455.0,2.52,53706.0,3.08,50096.0,2.95,45837.0,2.77,59684.0,3.52,54467.0,3.33,61205.0,3.79,61520.0,3.81,57182.0,3.53,61477.0,4.38
庫藏股票,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待註銷股本股數（單位：股）,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
應付公司債,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
應付帳款,6470.0,0.4,6980.0,0.5,3435.0,0.25,5758.0,0.42,16038.0,0.66,17263.0,0.8,13080.0,0.62,21767.0,1.25,16767.0,0.99,28042.0,1.69,41517.0,2.45,26542.0,1.62,22867.0,1.42,21990.0,1.36,27505.0,1.7,23187.0,1.65
應付票據,1878.0,0.11,727.0,0.05,1171.0,0.09,1159.0,0.08,27881.0,1.15,32126.0,1.48,53755.0,2.53,15913.0,0.91,18153.0,1.07,3743.0,0.23,3631.0,0.21,3609.0,0.22,1539.0,0.1,2456.0,0.15,1516.0,0.09,1394.0,0.1
應收帳款淨額,29984.0,1.83,40293.0,2.89,26175.0,1.91,16285.0,1.19,42092.0,1.74,42477.0,1.96,41094.0,1.94,21301.0,1.22,41819.0,2.46,41538.0,2.51,74029.0,4.37,61111.0,3.74,64867.0,4.02,72704.0,4.51,68992.0,4.26,50564.0,3.6
應收票據淨額,21266.0,1.3,24994.0,1.79,20147.0,1.47,11375.0,0.83,7547.0,0.31,14431.0,0.67,8355.0,0.39,9555.0,0.55,8113.0,0.48,8464.0,0.51,11770.0,0.69,10955.0,0.67,15325.0,0.95,26859.0,1.66,15953.0,0.99,18533.0,1.32
普通股股本,609119.0,37.27,609119.0,43.72,609119.0,44.46,609119.0,44.34,609119.0,25.12,609119.0,28.13,609119.0,28.72,889119.0,51.04,889119.0,52.28,889119.0,53.64,889119.0,52.48,889119.0,54.42,889119.0,55.1,889119.0,55.11,889119.0,54.92,889119.0,63.34
未分配盈餘（或待彌補虧損）,-64787.0,-3.96,-74123.0,-5.32,-59602.0,-4.35,-87689.0,-6.38,-95330.0,-3.93,-31588.0,-1.46,-80882.0,-3.81,-373337.0,-21.43,-399870.0,-23.51,-51626.0,-3.11,-40614.0,-2.4,-97767.0,-5.98,-105777.0,-6.56,-8463.0,-0.52,-18604.0,-1.15,-236117.0,-16.82
本期所得稅負債,,,,,,,,,,,,,,,,,278.0,0.02,2152.0,0.13,6335.0,0.37,10806.0,0.66,15846.0,0.98,10921.0,0.68,7863.0,0.49,10901.0,0.78
