,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,4640.0,10848.0,20403.0,26404.0,13793.0,47700.0,88007.0,375270.0,,,,,,,,
償還公司債,-70322.0,-70322.0,-70322.0,-68600.0,-431400.0,-431400.0,-431400.0,-431400.0,0.0,0.0,0.0,0.0,,,,0.0
償還長期借款,,,,,-71358.0,,-100728.0,,,0.0,0.0,,,,,
其他應付款增加（減少）,247.0,5287.0,-1511.0,28232.0,-10234.0,5320.0,-6188.0,-5646.0,-11944.0,-5746.0,-3265.0,-3107.0,-6107.0,-1367.0,6052.0,4104.0
其他應收款（增加）減少,2027.0,650.0,6287.0,6448.0,346.0,1142.0,1334.0,900.0,351.0,-280.0,293.0,-14368.0,-109.0,158.0,177.0,485.0
其他投資活動,-255.0,1557.0,331.0,,,,,,,,,,,,,
其他流動負債增加（減少）,-7513.0,-7583.0,-5073.0,-5884.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
其他流動資產（增加）減少,,,,0.0,,,,,,,,,,,,
其他營業資產（增加）減少,,,,-463.0,9197.0,2631.0,3762.0,2468.0,-662.0,-1061.0,-1170.0,12897.0,300.0,188.0,-41.0,-550.0
其他符合國際會計準則第七號現金及約當現金定義之項目,,,,,,0.0,,,,,,,,,,
其他籌資活動,255820.0,0.0,0.0,0.0,0.0,0.0,8013.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
其他金融資產增加,,,-329005.0,,0.0,530769.0,586344.0,606012.0,-69300.0,-142246.0,-124652.0,-190890.0,-1.0,,-2554.0,64654.0
其他金融資產減少,64000.0,-331154.0,1000.0,82645.0,529994.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,35610.0,,0.0
其他非流動負債減少,,,,,-104500.0,-104500.0,-104500.0,-104500.0,0.0,0.0,0.0,0.0,,-455.0,,0.0
其他非流動資產減少,,,-261.0,,,,329.0,,,,,,,,,
其他項目,-2185.0,-2275.0,-832.0,-2360.0,-1515.0,637.0,1168.0,30522.0,1080.0,901.0,574.0,6963.0,350.0,-1351.0,4886.0,-323.0
利息收入,,,,,,,,,,-546.0,-837.0,-1410.0,-1055.0,-1808.0,-2204.0,-2822.0
利息費用,1641.0,3282.0,6329.0,6212.0,0.0,0.0,8385.0,10094.0,0.0,0.0,0.0,0.0,0.0,,,0.0
匯率變動對現金及約當現金之影響,59.0,287.0,144.0,316.0,-30.0,-188.0,17.0,301.0,-83.0,-447.0,141.0,-165.0,-30.0,-189.0,-380.0,-482.0
取得不動產、廠房及設備,-1058.0,-2756.0,-4929.0,-5128.0,-2351.0,-3256.0,-16314.0,-25250.0,-7402.0,-13386.0,-14719.0,-15387.0,-3292.0,-6927.0,-9710.0,-14419.0
取得備供出售金融資產,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,
取得無形資產,,,0.0,-208.0,-1145.0,-1445.0,-1445.0,-1801.0,-155.0,-4727.0,-4727.0,-5490.0,0.0,0.0,-667.0,-810.0
呆帳費用提列（轉列收入）數,-237.0,98.0,578.0,-548.0,103.0,120.0,273.0,566.0,824.0,664.0,810.0,582.0,2937.0,2731.0,2426.0,-76.0
因合併產生之現金流入,,,,,4647.0,4647.0,4647.0,-693303.0,0.0,0.0,0.0,0.0,0.0,,,0.0
存入保證金增加,,,50.0,50.0,4.0,,-2.0,2.0,0.0,0.0,,0.0,,,-454.0,-455.0
存入保證金減少,,,,,,-2.0,,,,,0.0,,,,,
存出保證金增加,,,,,,,,7584.0,-1012.0,-1345.0,-455.0,-32.0,1833.0,1501.0,2208.0,4254.0
存出保證金減少,,,,661.0,7775.0,7801.0,7799.0,,,,,,,,,
存貨（增加）減少,799.0,1481.0,4925.0,4277.0,-7451.0,-4796.0,17428.0,17178.0,2519.0,7178.0,-6281.0,-6079.0,-5997.0,-3718.0,-4762.0,-3197.0
應付帳款增加（減少）,1052.0,1562.0,-1983.0,340.0,747.0,1972.0,-2211.0,6476.0,-5000.0,6275.0,19750.0,4775.0,-3675.0,-4552.0,963.0,-3355.0
