,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,"111,042,032",40.7,"110,739,317",40.47,"109,851,867",40.39,"109,369,671",38.69,"108,111,081",37.83,"106,252,824",37.86,"106,972,592",37.85,"108,445,563",37.04,"110,651,850",38.18,"116,103,732",38.72,"116,584,284",39.29,"113,310,134",38.66,"110,936,901",39.79,"107,998,519",40.18,"104,145,693",39.29,"101,799,766",38.13
以成本衡量之金融負債－流動,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,
以成本衡量之金融負債－非流動,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,
以成本衡量之金融資產－非流動淨額,"616,490",0.23,"579,264",0.21,"579,099",0.21,"579,192",0.2,"579,451",0.2,"557,352",0.2,"557,353",0.2,"546,028",0.19,"545,892",0.19,"821,821",0.27,"822,628",0.28,"822,609",0.28,"822,346",0.29,"810,789",0.3,"810,435",0.31,"589,736",0.22
保留盈餘合計,"45,521,147",16.68,"41,075,425",15.01,"44,506,049",16.36,"47,265,512",16.72,"49,098,651",17.18,"43,802,392",15.61,"47,018,226",16.64,"49,530,227",16.92,"50,339,005",17.37,"43,388,616",14.47,"44,337,361",14.94,"45,573,057",15.55,"45,794,052",16.42,"42,887,203",15.96,"45,208,495",17.05,"47,337,524",17.73
備供出售金融資產未實現損益,"12,911,598",4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備供出售金融資產－流動淨額,"15,066,125",5.52,"13,111,745",4.79,"14,829,149",5.45,"19,165,866",6.78,"21,266,329",7.44,"17,961,287",6.4,"17,125,047",6.06,"19,615,395",6.7,"19,582,139",6.76,"18,260,651",6.09,"16,358,225",5.51,"15,227,906",5.2,"14,972,453",5.37,"14,095,190",5.24,"15,375,305",5.8,"15,536,693",5.82
備供出售金融資產－非流動淨額,"4,775,276",1.75,"4,606,311",1.68,"4,507,469",1.66,"4,551,126",1.61,"4,818,344",1.69,"5,006,364",1.78,"5,076,401",1.8,"5,022,536",1.72,"5,101,127",1.76,"5,043,058",1.68,"4,062,414",1.37,"3,990,535",1.36,"4,179,171",1.5,"3,932,343",1.46,"4,026,846",1.52,"4,190,855",1.57
其他應付款,"9,369,864",3.43,"15,731,120",5.75,"8,459,764",3.11,"9,793,971",3.46,"8,109,776",2.84,"18,364,708",6.54,"8,424,316",2.98,"8,406,652",2.87,"8,261,256",2.85,"20,038,258",6.68,"8,507,552",2.87,"8,935,660",3.05,"7,252,683",2.6,"12,042,103",4.48,"7,159,521",2.7,"7,960,894",2.98
其他應付款項－關係人,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,
其他應收款淨額,,,,,"3,311,369",1.22,"1,361,862",0.48,"1,391,900",0.49,"1,307,374",0.47,"1,263,365",0.45,"960,774",0.33,"714,044",0.25,"794,571",0.26,"638,128",0.22,"663,601",0.23,"533,966",0.19,"567,812",0.21,"604,825",0.23,"770,838",0.29
其他應收款－關係人淨額,"1,820,536",0.67,"1,221,314",0.45,"980,262",0.36,"421,572",0.15,"811,663",0.28,"740,377",0.26,"487,196",0.17,"3,151,864",1.08,"2,446,284",0.84,"1,942,974",0.65,"732,245",0.25,"668,842",0.23,"638,479",0.23,"880,811",0.33,"567,371",0.21,"181,997",0.07
其他權益合計,"13,214,330",4.84,"11,577,183",4.23,"13,008,590",4.78,"16,697,377",5.91,"18,879,413",6.61,"14,928,773",5.32,"15,333,991",5.43,"19,281,356",6.59,"18,821,699",6.5,"17,090,614",5.7,"15,886,581",5.35,"13,238,554",4.52,"12,684,034",4.55,"10,215,827",3.8,"9,511,612",3.59,"8,974,606",3.36
其他流動負債,"23,479,332",8.61,"22,337,697",8.16,"24,963,763",9.18,"26,652,090",9.43,"25,120,235",8.79,"28,272,656",10.08,"26,003,811",9.2,"21,385,556",7.31,"20,316,362",7.01,"19,766,007",6.59,"18,744,824",6.32,"22,367,308",7.63,"22,129,331",7.94,"17,531,702",6.52,"18,373,500",6.93,"11,591,214",4.34
