,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
不動產、廠房及設備,2725273.0,39.41,2721621.0,39.1,2713719.0,39.28,2703097.0,43.8,2679639.0,43.18,2690684.0,42.75,2690143.0,42.92,2712906.0,40.26,2696715.0,39.53,2693824.0,38.85,2677086.0,39.28,2670210.0,38.97,2659199.0,38.46,2705047.0,38.16,2704898.0,39.06,2716308.0,38.51
保留盈餘合計,1217453.0,17.6,1155201.0,16.6,1180415.0,17.09,1230273.0,19.94,1307022.0,21.06,1237412.0,19.66,1291533.0,20.61,1325620.0,19.67,1373893.0,20.14,1257708.0,18.14,1377728.0,20.21,1390583.0,20.3,1459242.0,21.11,1351338.0,19.06,1451051.0,20.95,1502133.0,21.3
備供出售金融資產－非流動淨額,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
其他應付款,126294.0,1.83,247104.0,3.55,158350.0,2.29,175667.0,2.85,122172.0,1.97,261470.0,4.15,169625.0,2.71,179185.0,2.66,151225.0,2.22,376066.0,5.42,186284.0,2.73,220485.0,3.22,165170.0,2.39,437355.0,6.17,226651.0,3.27,256144.0,3.63
其他應收款淨額,13586.0,0.2,14022.0,0.2,13121.0,0.19,34190.0,0.55,14341.0,0.23,8765.0,0.14,11478.0,0.18,14379.0,0.21,5253.0,0.08,8331.0,0.12,18922.0,0.28,15515.0,0.23,5892.0,0.09,12425.0,0.18,5900.0,0.09,8448.0,0.12
其他權益合計,25707.0,0.37,22534.0,0.32,21961.0,0.32,112.0,0.0,1900.0,0.03,-1608.0,-0.03,-6948.0,-0.11,-4913.0,-0.07,-4976.0,-0.07,-9100.0,-0.13,-21333.0,-0.31,-17818.0,-0.26,-11490.0,-0.17,-6500.0,-0.09,-6637.0,-0.1,-4052.0,-0.06
其他流動負債,41380.0,0.6,35464.0,0.51,30355.0,0.44,32019.0,0.52,35748.0,0.58,48289.0,0.77,38807.0,0.62,34879.0,0.52,45300.0,0.66,69074.0,1.0,58486.0,0.86,52629.0,0.77,77345.0,1.12,46422.0,0.65,30212.0,0.44,39002.0,0.55
其他流動資產,13670.0,0.2,10052.0,0.14,9834.0,0.14,12065.0,0.2,26596.0,0.43,30145.0,0.48,31103.0,0.5,34744.0,0.52,23025.0,0.34,18072.0,0.26,20356.0,0.3,23537.0,0.34,22803.0,0.33,14902.0,0.21,16341.0,0.24,22351.0,0.32
其他非流動負債,90644.0,1.31,90298.0,1.3,94748.0,1.37,96773.0,1.57,92810.0,1.5,93993.0,1.49,94624.0,1.51,515524.0,7.65,536840.0,7.87,551462.0,7.95,525660.0,7.71,548826.0,8.01,531175.0,7.68,566766.0,8.0,552252.0,7.98,582816.0,8.26
其他非流動資產,86660.0,1.25,85328.0,1.23,77348.0,1.12,74736.0,1.21,61606.0,0.99,57700.0,0.92,55493.0,0.89,56006.0,0.83,51724.0,0.76,64752.0,0.93,53162.0,0.78,59744.0,0.87,61285.0,0.89,62291.0,0.88,62424.0,0.9,61058.0,0.87
