,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,-2153.0,-0.38,-3259.0,-0.53,-488.0,-0.08,-27903.0,-1.16,1758.0,0.28,-2695.0,-0.42,-6298.0,-0.93,-6490.0,-0.25,1254.0,0.2,-4461.0,-0.61,-13887.0,-1.9,-12249.0,-0.44,6447.0,1.02,5750.0,0.79,1264.0,0.17,16564.0,0.6
其他利益及損失淨額,8592.0,1.53,-30971.0,-5.05,-15357.0,-2.49,-25899.0,-1.08,29342.0,4.67,-27899.0,-4.32,-3515.0,-0.52,1783.0,0.07,-43456.0,-6.8,-28686.0,-3.94,28676.0,3.93,-78442.0,-2.84,-17077.0,-2.71,751.0,0.1,-31612.0,-4.28,-73248.0,-2.66
其他收入,17610.0,3.13,19536.0,3.19,15703.0,2.54,73712.0,3.06,15892.0,2.53,21575.0,3.34,17222.0,2.54,79020.0,3.04,25321.0,3.96,16653.0,2.29,21757.0,2.98,91300.0,3.31,17703.0,2.81,23736.0,3.25,18833.0,2.55,81673.0,2.96
其他綜合損益（淨額）,-1839.0,-0.33,-3173.0,-0.52,-573.0,-0.09,-26152.0,-1.09,1788.0,0.28,-3508.0,-0.54,-5340.0,-0.79,-24147.0,-0.93,-63.0,-0.01,-4124.0,-0.57,-12233.0,-1.68,-32872.0,-1.19,6328.0,1.01,4990.0,0.68,-137.0,-0.02,-2651.0,-0.1
國外營運機構財務報表換算之兌換差額,314.0,0.06,86.0,0.01,-85.0,-0.01,469.0,0.02,30.0,0.0,-813.0,-0.13,958.0,0.14,1465.0,0.06,-1317.0,-0.21,337.0,0.05,1654.0,0.23,-656.0,-0.02,-119.0,-0.02,-760.0,-0.1,-1401.0,-0.19,-2798.0,-0.1
基本每股盈餘,0.15,,0.04,,0.09,,0.46,,0.38,,0.16,,0.27,,1.07,,0.24,,0.34,,0.6,,1.34,,0.34,,0.58,,0.5,,1.76,
所得稅費用（利益）合計,8552.0,1.52,1986.0,0.32,2969.0,0.48,17583.0,0.73,10282.0,1.64,2504.0,0.39,10231.0,1.51,31289.0,1.2,11802.0,1.85,11827.0,1.62,20207.0,2.77,50408.0,1.83,14447.0,2.3,16374.0,2.24,18137.0,2.45,62852.0,2.28
推銷費用,114182.0,20.3,142052.0,23.17,126255.0,20.44,506695.0,21.03,124393.0,19.79,145479.0,22.54,134431.0,19.86,539518.0,20.77,122517.0,19.16,137834.0,18.92,116810.0,16.02,504358.0,18.27,109856.0,17.46,149202.0,20.46,122120.0,16.52,510881.0,18.54
本期淨利（淨損）,42111.0,7.49,10053.0,1.64,25214.0,4.08,125954.0,5.23,76749.0,12.21,30390.0,4.71,54121.0,7.99,214469.0,8.26,48273.0,7.55,67815.0,9.31,120020.0,16.46,268930.0,9.74,68659.0,10.91,116096.0,15.92,99713.0,13.49,351967.0,12.77
本期綜合損益總額,40272.0,7.16,6880.0,1.12,24641.0,3.99,99802.0,4.14,78537.0,12.49,26882.0,4.16,48781.0,7.21,190322.0,7.33,48210.0,7.54,63691.0,8.74,107787.0,14.78,236058.0,8.55,74987.0,11.92,121086.0,16.6,99576.0,13.47,349316.0,12.68
