,金額_x,金額_y,金額_x.1,金額_y.1,金額_x.2,金額_y.2,金額_x.3,金額_y.3,金額_x.4,金額_y.4,金額_x.5,金額_y.5,金額_x.6,金額_y.6,金額_x.7,金額_y.7
不影響現金流量之收益費損項目合計,27546.0,46981.0,64216.0,89307.0,19834.0,44776.0,55629.0,63696.0,,,,,,,,
其他應付款增加（減少）,-8545.0,748.0,-7428.0,-7965.0,-9619.0,10171.0,2847.0,13945.0,-10131.0,25274.0,19801.0,30492.0,-11314.0,-303.0,-7387.0,4138.0
其他應收款（增加）減少,-9979.0,-38609.0,-39380.0,-63145.0,-1494.0,44577.0,41984.0,52258.0,-4941.0,11158.0,4617.0,-38890.0,-29321.0,48289.0,66597.0,23009.0
其他流動負債增加（減少）,79.0,365.0,178.0,77.0,56.0,224.0,150.0,214.0,-24.0,7.0,121.0,-138.0,92.0,267.0,121.0,-22.0
其他流動資產（增加）減少,-64.0,-934.0,-542.0,-303.0,-4666.0,-1881.0,-1986.0,-163.0,-5092.0,-1439.0,-593.0,216.0,-57.0,-640.0,-630.0,99.0
其他非流動資產增加,-1058.0,-2004.0,-6781.0,-6781.0,-464.0,-1651.0,-2135.0,-2619.0,0.0,-94.0,-4748.0,-4407.0,-260.0,-2367.0,-7692.0,-8825.0
利息收入,-97.0,-273.0,-399.0,-610.0,-218.0,-627.0,-1035.0,-1804.0,-173.0,-428.0,-552.0,-799.0,-104.0,-289.0,-421.0,-604.0
利息費用,601.0,1690.0,2085.0,3483.0,1868.0,2871.0,3344.0,5831.0,641.0,2846.0,3859.0,5173.0,615.0,1632.0,2327.0,3589.0
匯率變動對現金及約當現金之影響,-1229.0,-186.0,-85.0,827.0,-1047.0,-307.0,-553.0,-3253.0,-559.0,329.0,-3392.0,-898.0,-4558.0,919.0,3191.0,3191.0
取得不動產、廠房及設備,-8103.0,-12538.0,-26620.0,-39561.0,-8812.0,-16233.0,-20705.0,-27775.0,-14569.0,-25006.0,-54046.0,-56251.0,-21442.0,-33373.0,-42898.0,-53899.0
呆帳費用提列（轉列收入）數,8890.0,6708.0,4801.0,6207.0,1245.0,2096.0,1038.0,-7866.0,7379.0,7959.0,6404.0,6989.0,-537.0,-123.0,1590.0,14642.0
存入保證金增加,1290.0,1299.0,1299.0,1299.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,,0.0,0.0,390.0,390.0
存出保證金增加,,,-1491.0,-2998.0,,-5902.0,-5902.0,-5903.0,-13890.0,0.0,0.0,-21.0,0.0,,,0.0
存貨（增加）減少,157351.0,145663.0,259090.0,249139.0,-21583.0,-96228.0,-28870.0,-33387.0,-49148.0,60668.0,-41510.0,-34270.0,-38501.0,80137.0,-5191.0,56634.0
應付帳款增加（減少）,-11414.0,-23402.0,-38428.0,-56144.0,-31100.0,-3481.0,22045.0,32647.0,-26216.0,-23819.0,-24894.0,-36376.0,2172.0,8354.0,4106.0,-6516.0
應付票據增加（減少）,-1282.0,-1021.0,-1841.0,-422.0,-508.0,2681.0,-1747.0,-2090.0,-1049.0,2953.0,894.0,-1231.0,2771.0,491.0,2015.0,678.0
應收帳款（增加）減少,47850.0,9972.0,-25646.0,-32549.0,137090.0,56105.0,10885.0,10077.0,125680.0,95052.0,27001.0,54079.0,17446.0,-155807.0,-144984.0,66027.0
應收票據（增加）減少,102781.0,26545.0,45889.0,50015.0,78717.0,33335.0,-2697.0,-54474.0,98263.0,101525.0,74850.0,36764.0,100269.0,95727.0,63720.0,35346.0
應計退休金負債增加（減少）,472.0,959.0,1431.0,-2998.0,-4338.0,-4356.0,-4634.0,-5309.0,,,,,,,,
投資活動之淨現金流入（流出）,-10319.0,-22273.0,-40618.0,-56125.0,-19200.0,-45749.0,-52447.0,-72852.0,-37156.0,-20248.0,-50542.0,-61928.0,-24066.0,-44236.0,-67956.0,-79204.0
折舊費用,19655.0,38434.0,57147.0,78553.0,18841.0,37547.0,56250.0,72844.0,14918.0,29960.0,45073.0,60187.0,13898.0,30691.0,45253.0,59543.0
攤銷費用,1250.0,2388.0,3540.0,4825.0,1445.0,2943.0,4506.0,6058.0,1833.0,3216.0,4534.0,5866.0,1658.0,2389.0,3560.0,4723.0
支付之利息,-1179.0,-2134.0,-2668.0,-3306.0,-1475.0,-2830.0,-3712.0,-5200.0,-1974.0,-3881.0,-5070.0,-5945.0,-1235.0,-2085.0,-2742.0,-3513.0
收取之利息,117.0,294.0,419.0,608.0,240.0,649.0,1057.0,1801.0,199.0,453.0,578.0,802.0,127.0,312.0,444.0,607.0
收益費損項目合計,,,,,,,,,28474.0,50665.0,52357.0,74732.0,21033.0,37281.0,53963.0,29293.0
期初現金及約當現金餘額,201833.0,201833.0,201833.0,201833.0,471418.0,471418.0,471418.0,471418.0,420127.0,411893.0,411893.0,411893.0,434642.0,434642.0,434642.0,434642.0
期末現金及約當現金餘額,403277.0,128565.0,334103.0,471418.0,495389.0,242146.0,323501.0,411893.0,417231.0,451568.0,320465.0,434642.0,417860.0,452626.0,295716.0,508631.0
本期現金及約當現金增加（減少）數,201444.0,-73268.0,132270.0,269585.0,23971.0,-229272.0,-147917.0,-59525.0,-2896.0,39675.0,-91428.0,22749.0,-16782.0,17984.0,-138926.0,73989.0
本期稅前淨利（淨損）,32738.0,25433.0,74923.0,48254.0,28038.0,46249.0,58980.0,52170.0,-4898.0,19333.0,95079.0,131261.0,46124.0,114871.0,149669.0,221095.0
淨確定福利負債增加(減少),,,,,,,,,234.0,-4907.0,-5080.0,-10616.0,-84782.0,-84043.0,-83310.0,-82577.0
營業活動之淨現金流入（流出）,217661.0,25618.0,303638.0,249041.0,-1329.0,-63135.0,16898.0,-67245.0,241920.0,285255.0,220131.0,307574.0,90555.0,185643.0,109255.0,266098.0
營運產生之現金流入（流出）,218723.0,27888.0,304236.0,251353.0,-94.0,-58222.0,18049.0,-64829.0,243695.0,299648.0,236927.0,325205.0,91663.0,203000.0,132057.0,289999.0
發放現金股利,,-973.0,-71805.0,-71805.0,,-2085.0,-64063.0,-64063.0,,-2504.0,-55626.0,-55626.0,,-2503.0,-91042.0,-91042.0
短期借款增加,120504.0,100886.0,39047.0,329376.0,252843.0,230527.0,453520.0,435776.0,215382.0,439177.0,584558.0,742130.0,135090.0,202909.0,367310.0,563021.0
籌資活動之淨現金流入（流出）,-4669.0,-76427.0,-130665.0,75842.0,45547.0,-120081.0,-111815.0,83825.0,-207101.0,-225661.0,-257625.0,-221999.0,-78713.0,-124342.0,-183416.0,-116096.0
繼續營業單位稅前淨利（淨損）,32738.0,25433.0,74923.0,48254.0,28038.0,46249.0,58980.0,52170.0,-4898.0,19333.0,95079.0,131261.0,46124.0,114871.0,149669.0,221095.0
