,金額_x,%_x,金額_y,%_y,金額_x.1,%_x.1,金額_y.1,%_y.1,金額_x.2,%_x.2,金額_y.2,%_y.2,金額_x.3,%_x.3,金額_y.3,%_y.3,金額_x.4,%_x.4,金額_y.4,%_y.4,金額_x.5,%_x.5,金額_y.5,%_y.5,金額_x.6,%_x.6,金額_y.6,%_y.6,金額_x.7,%_x.7,金額_y.7,%_y.7
備供出售金融資產未實現評價損益,-3279.0,-0.4,-6529.0,-0.78,-6529.0,-0.78,24476.0,0.69,1639.0,0.22,-7302.0,-0.9,-9017.0,-0.96,-11490.0,-0.3,8900.0,1.06,-11063.0,-1.45,-7799.0,-0.94,-9010.0,-0.28,-7544.0,-1.17,855.0,0.11,15817.0,2.28,7719.0,0.27
其他利益及損失淨額,4402.0,0.54,-3702.0,-0.44,-3702.0,-0.44,-1215.0,-0.03,-925.0,-0.12,2670.0,0.33,-343.0,-0.04,-580.0,-0.02,4977.0,0.59,-1764.0,-0.23,13285.0,1.6,5879.0,0.18,1290.0,0.2,3225.0,0.41,-8442.0,-1.22,44338.0,1.55
其他收入,3347.0,0.41,4981.0,0.59,4981.0,0.59,16422.0,0.46,3942.0,0.52,3320.0,0.41,7423.0,0.79,29048.0,0.77,3490.0,0.42,4061.0,0.53,6738.0,0.81,18484.0,0.56,4034.0,0.62,3177.0,0.41,8121.0,1.17,23737.0,0.83
其他綜合損益（淨額）,-3660.0,-0.45,-5266.0,-0.63,-5266.0,-0.63,26666.0,0.75,1479.0,0.2,-7115.0,-0.88,-9108.0,-0.97,-16439.0,-0.44,8850.0,1.06,-10682.0,-1.4,-9458.0,-1.14,-11258.0,-0.34,-11407.0,-1.77,4727.0,0.6,16964.0,2.44,5996.0,0.21
國外營運機構財務報表換算之兌換差額,-454.0,-0.06,1506.0,0.18,1506.0,0.18,1909.0,0.05,-191.0,-0.03,223.0,0.03,-108.0,-0.01,-1188.0,-0.03,-60.0,-0.01,454.0,0.06,-1979.0,-0.24,1428.0,0.04,-4607.0,-0.71,4618.0,0.59,1368.0,0.2,-504.0,-0.02
基本每股盈餘,0.12,,0.04,,0.04,,0.32,,0.12,,0.11,,0.1,,0.3,,-0.01,,0.17,,0.32,,0.67,,0.19,,0.31,,0.23,,0.93,
所得稅費用（利益）合計,693.0,0.09,3539.0,0.42,3539.0,0.42,7812.0,0.22,4260.0,0.57,3630.0,0.45,1912.0,0.2,10303.0,0.27,-1064.0,-0.13,5837.0,0.76,10045.0,1.21,24140.0,0.74,7220.0,1.12,10711.0,1.37,8726.0,1.26,32836.0,1.15
推銷費用,24097.0,2.97,25618.0,3.04,25618.0,3.04,118244.0,3.34,30672.0,4.08,35724.0,4.42,44061.0,4.7,129337.0,3.43,37826.0,4.52,30007.0,3.93,28555.0,3.45,120314.0,3.67,25251.0,3.91,24577.0,3.14,25973.0,3.74,102341.0,3.57
本期淨利（淨損）,32045.0,3.95,-10843.0,-1.29,-10843.0,-1.29,40442.0,1.14,23778.0,3.16,14581.0,1.81,10819.0,1.15,41867.0,1.11,-3834.0,-0.46,18393.0,2.41,65702.0,7.93,107121.0,3.27,38904.0,6.02,58037.0,7.42,26072.0,3.76,188259.0,6.57
本期綜合損益總額,28385.0,3.5,-16109.0,-1.91,-16109.0,-1.91,67108.0,1.9,25257.0,3.36,7466.0,0.92,1711.0,0.18,25428.0,0.67,5016.0,0.6,7711.0,1.01,56244.0,6.79,95863.0,2.93,27497.0,4.26,62764.0,8.02,43036.0,6.2,194255.0,6.78
